Accession	Location	Study_ID
ERR2592244	41.3275 N 9.8187 E	1
ERR2592245	35.3452 S 149.0950 E	1
ERR2592246	48.2082 N 16.3738 E	1
ERR2592247	42.6977 N 23.3219 E	1
ERR2592248	1.4558 S 48.4902 W	1
ERR2592249	22.5515 S 27.1147 E	1
ERR2592250	43.6532 N 79.3832 W	1
ERR2592251	46.9480 N 7.4474 E	1
ERR2592252	5.3600 N 4.0083 W	1
ERR2592253	49.1951 N 16.6068 E	1
ERR2592254	52.5200 N 13.4050 E	1
ERR2592255	60.1699 N 24.9384 E	1
ERR2592256	41.7151 N 44.8271 E	1
ERR2592257	45.8150 N 15.9819 E	1
ERR2592258	9.9312 N 76.2673 E	1
ERR2592259	35.6892 N 51.3890 E	1
ERR2592260	64.1265 N 21.8174 W	1
ERR2592261	1.2921 S 36.8219 E	1
ERR2592262	56.9496 N 24.1052 E	1
ERR2592263	41.9973 N 21.4280 E	1
ERR2592264	5.7288 N 100.5071 E	1
ERR2592265	7.3775 N 3.9470 E	1
ERR2592266	52.1365 N 5.2104 E	1
ERR2592267	59.9139 N 10.7522 E	1
ERR2592268	51.4164 N 21.9693 E	1
ERR2592269	1.3521 N 103.8198 E	1
ERR2592270	44.7866 N 20.4489 E	1
ERR2592271	46.0569 N 14.5058 E	1
ERR2592272	12.1348 N 15.0557 E	1
ERR2592273	39.9334 N 32.8597 E	1
ERR2592274	47.603832 N 122.330062 W	1
ERR2592275	41.875554 N 87.624421 W	1
ERR2592276	31.811130 N 106.50134939557 W	1
ERR2592277	45.520247 N 122.674194 W	1
ERR2592278	31.811130 N 106.50134939557 W	1
ERR2592279	31.811130 N 106.50134939557 W	1
ERR2592280	31.811130 N 106.50134939557 W	1
ERR2592281	26.2041 S 28.0473 E	1
ERR2592282	15.3875 S 28.3228 E	1
ERR2592283	12.8232 S 28.2176 E	1
ERR2592328	35.3452 S 149.0950 E	1
ERR2592329	50.4452 N 104.6189 W	1
ERR2592331	46.9480 N 7.4474 E	1
ERR2592332	52.5200 N 13.4050 E	1
ERR2592333	0.8675 S 89.4364 W	1
ERR2592334	41.3851 N 2.1734 E	1
ERR2592335	45.8150 N 15.9819 E	1
ERR2592336	56.9496 N 24.1052 E	1
ERR2592337	5.7288 N 100.5071 E	1
ERR2592338	52.1365 N 5.2104 E	1
ERR2592339	12.1348 N 15.0557 E	1
ERR2592340	41.875554 N 87.624421 W	1
ERR2592341	31.811130 N 106.50134939557 W	1
ERR2592342	31.811130 N 106.50134939557 W	1
ERR2592343	12.8232 S 28.2176 E	1
ERR1713331	41.3275 N 9.8187 E	1
ERR1713332	35.3452 S 149.0950 E	1
ERR1713333	37.9145 S 144.6432 E	1
ERR1713334	48.2082 N 16.3738 E	1
ERR1713335	42.6977 N 23.3219 E	1
ERR1713336	1.4558 S 48.4902 W	1
ERR1713337	1.4558 S 48.4902 W	1
ERR1713338	22.5515 S 27.1147 E	1
ERR1713339	50.4452 N 104.6189 W	1
ERR1713340	51.0486 N 114.0708 W	1
ERR1713341	43.6532 N 79.3832 W	1
ERR1713342	45.4215 N 75.6972 W	1
ERR1713343	46.9480 N 7.4474 E	1
ERR1713344	23.1291 N 113.2644 E	1
ERR1713345	5.3600 N 4.0083 W	1
ERR1713346	4.7060 N 74.2301 W	1
ERR1713347	49.1951 N 16.6068 E	1
ERR1713348	52.5200 N 13.4050 E	1
ERR1713349	55.6761 N 12.5683 E	1
ERR1713350	55.6761 N 12.5683 E	1
ERR1713351	55.6761 N 12.5683 E	1
ERR1713352	0.1807 S 78.4678 W	1
ERR1713353	0.8675 S 89.4364 W	1
ERR1713354	41.3851 N 2.1734 E	1
ERR1713355	8.9806 N 38.7578 E	1
ERR1713356	60.1699 N 24.9384 E	1
ERR1713357	41.7151 N 44.8271 E	1
ERR1713358	9.4329 N 0.8485 W	1
ERR1713359	13.4549 N 16.5790 W	1
ERR1713360	45.8150 N 15.9819 E	1
ERR1713361	47.4979 N 19.0402 E	1
ERR1713362	9.9312 N 76.2673 E	1
ERR1713363	53.2707 N 9.0568 W	1
ERR1713364	35.6892 N 51.3890 E	1
ERR1713365	64.1265 N 21.8174 W	1
ERR1713366	31.7683 N 35.2137 E	1
ERR1713367	41.9028 N 12.4964 E	1
ERR1713368	43.2220 N 76.8512 E	1
ERR1713369	1.2921 S 36.8219 E	1
ERR1713370	11.5449 N 104.8922 E	1
ERR1713371	6.9271 N 79.8612 E	1
ERR1713372	49.5096 N 5.9221 E	1
ERR1713373	56.9496 N 24.1052 E	1
ERR1713374	47.0105 N 28.8638 E	1
ERR1713375	41.9973 N 21.4280 E	1
ERR1713376	35.8902 N 14.4767 E	1
