Accession	Group
SRR850206	AS
SRR1022351	AS
ERR1076073	AS
ERR1076074	AS
ERR1076075	AS
ERR1076076	AS
ERR1076077	AS
ERR1076078	AS
ERR1076079	AS
ERR1076080	AS
ERR1076081	AS
ERR1076082	AS
SRR1106693	AS
SRR1106701	AS
SRR1106709	AS
SRR1106873	AS
SRR1108844	AS
SRR1108846	AS
SRR1118289	AS
SRR1145849	AS
SRR1167400	AS
SRR1167401	AS
SRR1167403	AS
SRR1167406	AS
SRR1167407	AS
SRR1168486	AS
SRR1168487	AS
ERR1414212	AS
ERR1414213	AS
ERR1414214	AS
ERR1414215	AS
ERR1414226	AS
ERR1414227	AS
ERR1414228	AS
ERR1414229	AS
ERR1414230	AS
ERR1414231	AS
ERR1414232	AS
SRR1493250	AS
SRR1493251	AS
SRR1493252	AS
SRR1493253	AS
SRR1493254	AS
SRR1493255	AS
SRR1493256	AS
SRR1493257	AS
SRR1493258	AS
SRR1493259	AS
SRR1493260	AS
SRR1493261	AS
SRR1493262	AS
SRR1493263	AS
SRR1493264	AS
SRR1493265	AS
SRR1493266	AS
SRR1493267	AS
SRR1493268	AS
SRR1493269	AS
SRR1493270	AS
SRR1493271	AS
SRR1493272	AS
SRR1702225	AS
SRR1702232	AS
SRR1702233	AS
SRR1702234	AS
SRR1763381	AS
SRR1763383	AS
SRR1763384	AS
SRR2062623	AS
SRR2107128	AS
SRR2107133	AS
SRR2107171	AS
SRR2107173	AS
SRR2107174	AS
SRR2107175	AS
SRR2107176	AS
SRR2107177	AS
SRR2107178	AS
SRR2107179	AS
SRR2107180	AS
SRR2107181	AS
SRR2107182	AS
SRR2107183	AS
SRR2107184	AS
SRR2107185	AS
SRR2107210	AS
SRR2107211	AS
SRR2107212	AS
SRR2107213	AS
SRR2107215	AS
SRR2107216	AS
SRR2107218	AS
SRR2107219	AS
SRR2308827	AS
SRR2308974	AS
SRR3501849	AS
SRR3501850	AS
SRR3501851	AS
SRR3501852	AS
SRR3501853	AS
SRR3501854	AS
SRR3501855	AS
SRR3501856	AS
SRR3501857	AS
SRR3501858	AS
SRR3501859	AS
SRR3501861	AS
SRR3501862	AS
SRR3501884	AS
SRR3501885	AS
SRR3501886	AS
SRR3501887	AS
SRR3501888	AS
SRR3501889	AS
SRR5571008	AS
SRR5571009	AS
SRR5571011	AS
SRR6747711	AS
SRR6747712	AS
SRR6747713	AS
SRR6747714	AS
SRR6747715	AS
SRR6747716	AS
SRR6747717	AS
SRR6747718	AS
SRR6747719	AS
SRR6747720	AS
SRR6747721	AS
SRR6747722	AS
SRR6747723	AS
SRR6747724	AS
SRR6747725	AS
SRR6747726	AS
SRR6747727	AS
SRR6747728	AS
SRR6747729	AS
SRR6747730	AS
SRR6747731	AS
SRR6747732	AS
SRR6747733	AS
SRR6747734	AS
SRR6747735	AS
SRR6747736	AS
SRR6747737	AS
SRR6747738	AS
SRR6747739	AS
SRR6747740	AS
SRR6747741	AS
SRR6747742	AS
SRR6747743	AS
SRR6747744	AS
SRR6747745	AS
SRR6747746	AS
SRR6747747	AS
SRR6747748	AS
SRR6747749	AS
SRR6747750	AS
SRR6747751	AS
SRR6747752	AS
SRR6747753	AS
SRR6747754	AS
SRR6747755	AS
SRR6747756	AS
SRR6747757	AS
SRR6747758	AS
SRR6747759	AS
SRR6747760	AS
SRR6747761	AS
SRR6747762	AS
SRR6747763	AS
SRR6747764	AS
SRR6747765	AS
SRR6747766	AS
SRR6747767	AS
SRR6747768	AS
SRR6747769	AS
SRR6747770	AS
SRR6747771	AS
SRR6747772	AS
SRR6747773	AS
SRR6747774	AS
SRR6747775	AS
SRR6747776	AS
SRR6747777	AS
SRR6747778	AS
SRR6747779	AS
SRR6747780	AS
SRR6747781	AS
SRR6747782	AS
SRR6747783	AS
SRR6747784	AS
SRR6747785	AS
SRR6747786	AS
SRR6747787	AS
SRR6747788	AS
SRR6747789	AS
SRR6747790	AS
SRR6747791	AS
SRR6747792	AS
SRR6747793	AS
SRR6747794	AS
SRR6747795	AS
SRR6747796	AS
SRR6747797	AS
SRR6747798	AS
SRR6747799	AS
SRR6747800	AS
SRR6747801	AS
SRR6747802	AS
SRR6747803	AS
SRR6747804	AS
SRR6747805	AS
SRR6747806	AS
SRR6747807	AS
SRR6747808	AS
SRR6747809	AS
SRR6747810	AS
SRR6747811	AS
SRR6747812	AS
SRR6800319	AS
SRR6800320	AS
SRR6800322	AS
SRR7453059	AS
SRR7453060	AS
SRR7453061	AS
SRR7453062	AS
SRR8205411	AS
SRR8208345	AS
SRR8208348	AS
SRR8223441	AS
SRR8351382	AS
SRR8351383	AS
SRR8351384	AS
SRR8351385	AS
SRR8831201	AS
SRR8831203	AS
SRR8831205	AS
SRR9038830	AS
SRR9260993	AS
SRR9260994	AS
SRR9260995	AS
SRR9260996	AS
SRR9260997	AS
SRR9260998	AS
SRR9260999	AS
SRR9261000	AS
SRR9261001	AS
SRR9261002	AS
SRR9261003	AS
SRR9261004	AS
SRR9261005	AS
SRR9261006	AS
SRR9261007	AS
SRR9261008	AS
SRR9261009	AS
SRR9261010	AS
SRR9261011	AS
SRR9261012	AS
SRR9261013	AS
SRR9261014	AS
SRR9261015	AS
SRR9261016	AS
SRR9261017	AS
SRR9261018	AS
SRR9261019	AS
SRR9261020	AS
SRR9261021	AS
SRR9261022	AS
SRR9261023	AS
SRR9261024	AS
SRR9261025	AS
SRR9261026	AS
SRR9261027	AS
SRR9261028	AS
SRR9261029	AS
SRR9261030	AS
SRR9261031	AS
SRR9261032	AS
SRR9261033	AS
SRR9261034	AS
SRR9261035	AS
SRR9261036	AS
SRR9261037	AS
SRR9261038	AS
SRR9261039	AS
SRR9261040	AS
SRR9261041	AS
SRR9261042	AS
SRR9261043	AS
SRR9261044	AS
SRR9261045	AS
SRR9261046	AS
SRR9261047	AS
SRR9261048	AS
SRR9261049	AS
SRR9261050	AS
SRR9261051	AS
SRR9261052	AS
SRR9852164	AS
SRR9852165	AS
SRR9852166	AS
SRR9852167	AS
SRR9852168	AS
SRR9852169	AS
SRR9852170	AS
SRR9852171	AS
SRR9852172	AS
SRR9852173	AS
SRR9852174	AS
SRR9852175	AS
SRR9852176	AS
SRR9852177	AS
SRR9852178	AS
SRR9852179	AS
SRR9852180	AS
SRR9852181	AS
SRR9852182	AS
SRR9852183	AS
SRR9852184	AS
SRR9852185	AS
SRR9852186	AS
SRR9852187	AS
SRR9852188	AS
SRR9852189	AS
SRR9852190	AS
SRR9852191	AS
SRR9852192	AS
SRR9852193	AS
SRR9852194	AS
SRR9852195	AS
SRR9852196	AS
SRR9852197	AS
SRR9852198	AS
SRR9852199	AS
SRR9852200	AS
SRR9852201	AS
SRR9852202	AS
SRR9852203	AS
SRR9852204	AS
SRR9852205	AS
SRR9852206	AS
SRR9852207	AS
SRR9852208	AS
SRR9852209	AS
SRR9852210	AS
SRR9852211	AS
SRR9852212	AS
SRR9852213	AS
SRR9852214	AS
SRR9852215	AS
SRR9852216	AS
SRR9852217	AS
SRR9852218	AS
SRR9852219	AS
SRR9852220	AS
SRR11088370	AS
SRR11088372	AS
SRR11088380	AS
SRR11088382	AS
SRR11088388	AS
SRR11088389	AS
SRR11088394	AS
SRR11088396	AS
SRR11088413	AS
SRR11088415	AS
SRR11088423	AS
SRR11088425	AS
SRR11088431	AS
SRR11088434	AS
SRR11088441	AS
SRR11088443	AS
SRR11088460	AS
SRR11088462	AS
SRR11088465	AS
SRR11088471	AS
SRR11088473	AS
SRR11088481	AS
SRR11088483	AS
SRR11088485	AS
SRR11182811	AS
SRR11182812	AS
SRR11182813	AS
SRR11182814	AS
SRR11182815	AS
SRR11235433	AS
SRR11235435	AS
SRR11673965	AS
SRR11673976	AS
SRR11673987	AS
SRR11673990	AS
SRR11673991	AS
SRR11673993	AS
SRR11673994	AS
SRR11673996	AS
SRR11673997	AS
SRR11673998	AS
SRR11674010	AS
SRR11674014	AS
SRR11674017	AS
SRR11674019	AS
SRR11674020	AS
SRR11674021	AS
SRR11674024	AS
SRR11674026	AS
SRR11674027	AS
SRR11674028	AS
SRR11674029	AS
SRR11674030	AS
SRR11674032	AS
SRR11674033	AS
SRR11674034	AS
SRR11674036	AS
SRR11674037	AS
SRR11674039	AS
SRR11674040	AS
SRR11674042	AS
SRR11674043	AS
SRR11674047	AS
SRR11674050	AS
SRR11674052	AS
SRR11674053	AS
SRR11783213	AS
SRR11783214	AS
SRR13994250	AS
SRR14932477	AS
SRR14932478	AS
SRR14932479	AS
SRR14932480	AS
SRR14932481	AS
SRR14932482	AS
SRR14932483	AS
SRR14932484	AS
SRR14932485	AS
SRR14932486	AS
SRR14932487	AS
SRR14932488	AS
SRR14932489	AS
SRR14932490	AS
SRR14932491	AS
SRR14932492	AS
SRR14932493	AS
SRR14932494	AS
SRR14932495	AS
SRR14932496	AS
SRR14932497	AS
SRR14932498	AS
SRR14932499	AS
SRR14932510	AS
SRR14932511	AS
SRR14932512	AS
SRR14932513	AS
SRR14932514	AS
SRR14932515	AS
SRR14932516	AS
SRR14932517	AS
SRR14932518	AS
SRR14932519	AS
SRR14932520	AS
SRR14932521	AS
SRR14932522	AS
SRR14932523	AS
SRR14932524	AS
SRR14932525	AS
SRR14932526	AS
SRR14932527	AS
SRR14932528	AS
SRR14932529	AS
SRR14932530	AS
SRR14932531	AS
SRR14932532	AS
SRR14932533	AS
SRR14932534	AS
SRR14932535	AS
SRR14932536	AS
SRR14932537	AS
SRR14932538	AS
SRR14932539	AS
SRR14932540	AS
SRR14932541	AS
SRR14932542	AS
SRR14932543	AS
SRR14932544	AS
SRR14932545	AS
SRR14932546	AS
SRR14932547	AS
SRR14932548	AS
SRR14932549	AS
SRR14932550	AS
SRR14932551	AS
SRR14932552	AS
SRR14932553	AS
SRR14932554	AS
SRR14932555	AS
SRR14932556	AS
SRR14932557	AS
SRR14932558	AS
SRR14932559	AS
SRR14932560	AS
SRR14932561	AS
SRR14932562	AS
SRR14932563	AS
SRR14932564	AS
SRR14932565	AS
SRR14932566	AS
SRR14932567	AS
SRR14932568	AS
SRR14932569	AS
SRR14932570	AS
SRR14932571	AS
SRR14932572	AS
SRR14932573	AS
SRR14932574	AS
SRR14932575	AS
SRR14932576	AS
SRR14932577	AS
SRR14932578	AS
SRR14932579	AS
SRR14932580	AS
SRR14932581	AS
SRR14932582	AS
SRR14932583	AS
SRR14932584	AS
SRR14932585	AS
SRR14932586	AS
SRR14932587	AS
SRR14932588	AS
SRR14932589	AS
SRR14932590	AS
SRR14932591	AS
SRR14932592	AS
SRR14932593	AS
