group	exclusive	non-exclusive
NW	204054082	243096041
AS	170387088	205234759
MW	90615240	94749939
WW	84561093	117615092
GW	83931082	96324712
DW	66155063	91723108
AS,WW	14334967	23814601
DW,NW	11284559	18141292
NW,WW	5030550	15350552
AS,NW	4804109	14421248
AS,NW,WW	4667626	7992298
AS,DW	2839569	7990929
MW,NW	2651594	3678554
DW,GW	2232699	5930894
GW,NW	1978073	6676884
AS,DW,NW,WW	1391528	2625378
AS,GW	1348808	4858800
DW,NW,WW	1077493	4344575
AS,DW,GW,NW,WW	1031426	1195300
DW,GW,NW	910519	3065323
GW,WW	873702	4625431
AS,DW,NW	861964	3839937
AS,DW,WW	842307	3621556
DW,WW	781282	6285066
AS,GW,NW,WW	638203	1854909
GW,NW,WW	517736	2967079
DW,GW,NW,WW	486334	1757854
AS,GW,WW	467506	2477700
AS,GW,NW	364803	2566877
DW,MW,NW	328467	778987
AS,DW,GW,NW	318482	1533637
AS,DW,GW	304639	1992865
AS,DW,GW,MW,NW,WW	163874	163874
DW,GW,WW	147182	2060492
AS,DW,GW,WW	145849	1345217
GW,MW	135640	627669
AS,MW	89485	485885
DW,MW,NW,WW	79150	357794
DW,MW	77826	912213
DW,GW,MW,NW,WW	76220	240094
MW,NW,WW	58891	509656
DW,GW,MW,NW	58613	318562
MW,WW	53991	620308
GW,MW,NW	50632	431308
AS,MW,NW,WW	39685	263515
AS,DW,MW,NW,WW	38550	202424
AS,MW,NW	36651	343107
GW,MW,NW,WW	31880	293380
AS,GW,MW,NW,WW	21406	185280
DW,GW,MW	20923	353764
AS,DW,GW,MW,NW	19855	183729
AS,MW,WW	18284	295189
AS,DW,MW,NW	14258	236537
AS,GW,MW	11013	239084
DW,MW,WW	10310	381665
GW,MW,WW	9138	317493
AS,GW,MW,NW	8828	213963
AS,DW,MW	5934	255165
DW,GW,MW,WW	5539	249701
AS,GW,MW,WW	5368	194716
AS,DW,GW,MW	4672	192469
AS,DW,GW,MW,WW	4068	167942
AS,DW,MW,WW	3954	210446
