group	strict	normal
AS	28659782	36431600
NW	22182191	31505296
WW	14477791	22340278
MW	11601137	12280695
DW	8460929	14450467
GW	4534019	6707183
AS,WW	3584945	5920555
DW,NW	3257991	4891790
AS,NW,WW	1290070	2143455
NW,WW	1146354	3837179
AS,NW	926783	3393115
MW,NW	459654	638677
AS,DW	412019	1547279
DW,GW	360374	1272540
AS,DW,NW,WW	330850	692748
AS,DW,GW,NW,WW	314403	355949
GW,NW	249366	1404494
DW,NW,WW	236325	1110986
DW,GW,NW	201446	814953
AS,DW,NW	188456	952510
DW,GW,NW,WW	154681	529607
AS,GW,NW,WW	151263	510185
AS,GW	130721	895516
GW,NW,WW	114750	806379
GW,WW	112243	1021378
AS,DW,WW	110979	825984
DW,WW	107786	1375180
AS,DW,GW,NW	65780	424718
AS,GW,WW	56973	589389
AS,GW,NW	55910	636153
AS,DW,GW	48213	495384
DW,MW,NW	46474	141858
AS,DW,GW,MW,NW,WW	41546	41546
DW,GW,WW	21774	574250
AS,DW,GW,WW	21345	377862
DW,GW,MW,NW,WW	18977	60523
DW,GW,MW,NW	15131	78643
GW,MW	9321	113922
AS,MW	8664	83108
DW,MW,NW,WW	8255	74727
DW,MW	7830	157116
GW,MW,NW,WW	7786	71282
MW,NW,WW	6596	98483
AS,MW,NW,WW	6401	56869
GW,MW,NW	6204	96895
AS,DW,MW,NW,WW	5949	47495
AS,MW,NW	5916	69600
MW,WW	4185	107746
DW,GW,MW	3817	84524
AS,DW,GW,MW,NW	2989	44535
AS,GW,MW,NW,WW	2973	44519
AS,DW,MW,NW	2537	53021
AS,MW,WW	1628	59727
AS,GW,MW,NW	1289	48797
DW,GW,MW,WW	956	62047
GW,MW,WW	822	73946
AS,DW,MW	761	55234
AS,GW,MW	685	50908
AS,DW,GW,MW,WW	568	42114
AS,DW,GW,MW	540	45643
DW,MW,WW	442	77037
AS,DW,MW,WW	344	48407
AS,GW,MW,WW	318	45405
