group	strict
AS	28659782
NW	22182191
WW	14477791
MW	11601137
DW	8460929
GW	4534019
AS,WW	3584945
DW,NW	3257991
AS,NW,WW	1290070
NW,WW	1146354
AS,NW	926783
MW,NW	459654
AS,DW	412019
DW,GW	360374
AS,DW,NW,WW	330850
AS,DW,GW,NW,WW	314403
GW,NW	249366
DW,NW,WW	236325
DW,GW,NW	201446
AS,DW,NW	188456
DW,GW,NW,WW	154681
AS,GW,NW,WW	151263
AS,GW	130721
GW,NW,WW	114750
GW,WW	112243
AS,DW,WW	110979
DW,WW	107786
AS,DW,GW,NW	65780
AS,GW,WW	56973
AS,GW,NW	55910
AS,DW,GW	48213
DW,MW,NW	46474
AS,DW,GW,MW,NW,WW	41546
DW,GW,WW	21774
AS,DW,GW,WW	21345
DW,GW,MW,NW,WW	18977
DW,GW,MW,NW	15131
GW,MW	9321
AS,MW	8664
DW,MW,NW,WW	8255
DW,MW	7830
GW,MW,NW,WW	7786
MW,NW,WW	6596
AS,MW,NW,WW	6401
GW,MW,NW	6204
AS,DW,MW,NW,WW	5949
AS,MW,NW	5916
MW,WW	4185
DW,GW,MW	3817
AS,DW,GW,MW,NW	2989
AS,GW,MW,NW,WW	2973
AS,DW,MW,NW	2537
AS,MW,WW	1628
AS,GW,MW,NW	1289
DW,GW,MW,WW	956
GW,MW,WW	822
AS,DW,MW	761
AS,GW,MW	685
AS,DW,GW,MW,WW	568
AS,DW,GW,MW	540
DW,MW,WW	442
AS,DW,MW,WW	344
AS,GW,MW,WW	318
