group	strict
AS,WW	14334967
DW,NW	11284559
NW,WW	5030550
AS,NW	4804109
AS,NW,WW	4667626
AS,DW	2839569
MW,NW	2651594
DW,GW	2232699
GW,NW	1978073
AS,DW,NW,WW	1391528
AS,GW	1348808
DW,NW,WW	1077493
AS,DW,GW,NW,WW	1031426
DW,GW,NW	910519
GW,WW	873702
AS,DW,NW	861964
AS,DW,WW	842307
DW,WW	781282
AS,GW,NW,WW	638203
GW,NW,WW	517736
DW,GW,NW,WW	486334
AS,GW,WW	467506
AS,GW,NW	364803
DW,MW,NW	328467
AS,DW,GW,NW	318482
AS,DW,GW	304639
AS,DW,GW,MW,NW,WW	163874
DW,GW,WW	147182
AS,DW,GW,WW	145849
GW,MW	135640
AS,MW	89485
DW,MW,NW,WW	79150
DW,MW	77826
DW,GW,MW,NW,WW	76220
MW,NW,WW	58891
DW,GW,MW,NW	58613
MW,WW	53991
GW,MW,NW	50632
AS,MW,NW,WW	39685
AS,DW,MW,NW,WW	38550
AS,MW,NW	36651
GW,MW,NW,WW	31880
AS,GW,MW,NW,WW	21406
DW,GW,MW	20923
AS,DW,GW,MW,NW	19855
AS,MW,WW	18284
AS,DW,MW,NW	14258
AS,GW,MW	11013
DW,MW,WW	10310
GW,MW,WW	9138
AS,GW,MW,NW	8828
AS,DW,MW	5934
DW,GW,MW,WW	5539
AS,GW,MW,WW	5368
AS,DW,GW,MW	4672
AS,DW,GW,MW,WW	4068
AS,DW,MW,WW	3954
