Representative	AS	DW	GW	Group	MW	NW	WW
SRR7369916_k141_337259_1_13919172	111	111	49	0	0	283	138
SRR9852176_k141_2154404_1_273804043	209	81	36	0	0	260	218
SRR446576_k99_205925_1_49339595	18	93	85	0	56	158	242
SRR1763381_k119_24196_29_13685084	352	58	26	0	2	117	342
SRR14143314_k141_120193_9_28880644	227	142	32	0	55	244	93
ERR1713372_k141_210550_1_128163779	148	69	32	0	0	236	203
ERR4678566_k141_726640_1_161442685	175	60	35	0	0	136	349
SRR18749947_k141_473535_93_98680098	90	50	34	0	0	90	276
ERR4678571_k141_970917_3_8840585	13	68	61	0	11	168	122
ERR4678628_k141_1319370_1_32904678	27	82	69	0	10	159	306
SRR22752042_k141_1136401_1_284482853	347	218	115	0	8	532	497
SRR2962470_k119_25936_3_495587803	158	50	30	0	1	264	237
ERR4678591_k141_18905_1_55616151	5	53	42	0	6	89	210
ERR3281021_k141_607451_2_1008319	230	85	73	0	2	203	473
SRR11088410_k141_643517_1_18468516	181	92	48	0	5	331	210
SRR21802947_k141_429581_2_589743407	158	60	32	0	0	257	132
SRR21802946_k141_97569_1_602944377	22	76	71	0	14	157	251
ERR2592256_k141_5232_1_24046921	20	75	63	0	7	149	247
SRR14932614_k141_1501579_74_658458473	371	94	23	0	1	220	80
ERR4678659_k141_362089_1_135151960	268	55	36	0	3	225	426
ERR3281039_k141_61213_2_12316107	177	54	24	0	0	241	313
ERR3761240_k141_885914_3_47586214	304	49	64	0	0	184	367
SRR9261017_k141_149018_1_232497833	150	44	28	0	0	114	116
SRR13727531_k141_21547_1_129567666	137	75	24	0	1	127	67
SRR13608705_k141_900733_1_354850716	289	89	58	0	1	165	171
ERR4678594_k141_331227_1_58700854	165	63	43	0	1	225	437
SRR22752025_k141_1316385_1_263550407	39	49	23	0	0	262	180
ERR5954409_k141_737995_1_199581477	141	55	26	0	0	216	294
SRR12396704_k141_21917_7_236411795	254	138	40	0	3	185	116
SRR22105537_k141_854361_1_146272477	189	47	52	0	0	124	96
SRR8797412_k141_658072_3_60394918	30	46	58	0	9	137	140
SRR12404958_k141_385946_2_49002573	179	114	37	0	1	378	121
SRR11088460_k141_406959_1_391393375	102	51	66	0	0	111	411
ERR4678619_k141_1312437_2_95347652	5	45	39	0	3	91	176
ERR4678630_k141_287899_1_107876482	187	58	64	0	3	168	462
SRR9261019_k141_190039_24_233369858	235	109	25	0	23	362	245
SRR13608700_k141_1180583_4_385568506	399	251	138	0	20	590	507
SRR14932569_k141_1127248_2_593197343	196	62	42	0	5	193	162
SRR10388245_k141_318534_1_77893193	197	67	29	0	17	103	101
SRR13727520_k141_92710_64_119208732	114	58	23	0	0	181	179
SRR14932639_k141_1538627_2_699227359	373	175	34	0	57	548	222
ERR11269305_k141_1055941_3_202971527	127	60	44	0	0	202	70
SRR10132624_k141_636833_2_283636534	56	68	94	0	1	242	130
SRR18331977_k141_34058_3_178640961	122	122	50	0	3	121	59
ERR5954433_k141_350591_1_216406902	56	57	37	0	0	253	311
SRR12964613_k141_101788_2_114375857	370	182	102	0	5	486	489
SRR19786847_k141_38364_1_565975234	111	89	30	0	5	323	304
ERR1713352_k141_659105_1_107177014	138	105	28	0	0	346	276
SRR14932528_k141_207939_3_519571163	380	162	91	0	3	476	468
ERR9855099_k141_369558_2_67111318	291	165	38	0	4	224	148
ERR11269309_k141_102814_1_208860289	50	79	80	0	14	177	315
SRR11088394_k141_925783_2_371306243	26	46	41	0	0	115	200
SRR12404955_k141_1472559_9_148697266	116	70	28	0	2	231	63
SRR14560391_k141_274964_1_400829560	254	86	34	0	52	197	128
ERR1713349_k141_1600469_1_101441001	164	55	68	0	1	123	454
SRR14932533_k141_308893_1_531046990	226	97	40	0	25	373	348
SRR18749955_k141_465119_1_108413086	204	240	71	0	36	226	102
SRR15237807_k141_214280_10_225345544	226	124	48	0	1	427	427
ERR4869719_k141_257179_5_75071663	162	157	28	0	2	485	124
SRR14751602_k141_1828395_1_456078813	14	46	57	0	17	136	144
SRR21802943_k141_624616_3_175542768	301	96	29	0	0	170	127
SRR25018385_k141_583298_1_617911601	152	51	38	0	0	175	179
ERR1725986_k141_162242_1_74295171	104	55	53	0	1	158	445
SRR18749963_k141_436707_56_96812223	22	68	62	0	19	201	231
ERR3858110_k141_234867_3_13615485	248	221	87	0	54	160	313
SRR8863435_k119_232884_33_63479462	342	161	71	0	3	399	295
SRR26726063_k141_36743_19_158307404	24	94	68	0	9	189	136
SRR26726064_k141_190807_5_158748797	150	101	38	0	1	274	390
ERR4678625_k141_1028456_1_102925705	19	61	56	0	4	122	271
SRR22372587_k141_138272_1_186423512	13	98	63	0	1	158	77
ERR4678638_k141_281415_1_138890805	95	47	47	0	1	167	401
ERR3281034_k141_187640_4_9908907	336	201	50	0	11	95	188
ERR4678559_k141_96571_1_214410718	194	74	78	0	1	148	454
ERR4678559_k141_793058_1_214755900	100	64	37	0	0	85	385
SRR21427519_k141_43701_1_147451425	97	57	60	0	1	203	249
SRR13608725_k141_2462733_2_359331281	144	56	27	0	1	138	67
ERR4678615_k141_425869_2_86463104	124	47	25	0	0	141	240
SRR16108675_k141_741115_2_580090329	166	82	56	0	148	203	140
SRR9852171_k141_674027_4_262429581	402	61	67	0	2	162	274
ERR1713361_k141_38052_4_115353108	304	194	125	0	4	419	489
ERR4678677_k141_641513_1_195650834	236	67	63	0	5	106	306
SRR21802943_k141_286971_3_175438819	273	167	74	0	5	456	373
ERR2592267_k141_164737_2_1372160	79	50	69	0	0	97	381
SRR14932627_k141_735317_36_678544488	206	80	36	0	3	342	274
SRR14751605_k141_1333369_4_465053793	283	194	47	0	59	517	201
ERR1713406_k141_782422_1_165527362	76	71	23	0	8	107	82
ERR11269297_k141_581874_3_53612931	32	67	62	0	7	136	193
SRR22752042_k141_580672_1_282710111	128	61	32	0	2	100	87
SRR17063164_k141_725180_7_88901242	233	71	34	0	36	269	131
SRR11088392_k141_1366178_11_9102441	60	44	32	0	22	118	205
SRR21203042_k141_19455_2_178290571	261	131	81	0	4	404	411
SRR14932643_k141_835672_6_710737053	7	46	40	0	2	82	240
ERR1726006_k141_167083_2_81026600	514	62	73	0	22	141	492
SRR11088471_k141_277096_2_399546885	24	56	69	0	11	153	182
SRR13727538_k141_461966_1_134553083	68	60	50	0	0	220	329
SRR14751621_k141_2073539_2_518828213	87	59	27	0	2	317	298
SRR11088457_k141_716218_2_16216750	135	108	25	0	12	363	314
SRR13727527_k141_18353_104_123923562	189	83	56	0	0	205	89
SRR11088427_k141_817538_1_32880891	184	57	39	0	1	157	339
SRR13225455_k141_746646_1_342866129	21	64	53	0	6	153	134
SRR4754859_k141_324455_1_130617872	79	53	31	0	1	82	88
ERR3281041_k141_162461_3_13294404	274	124	70	0	7	419	451
ERR5954406_k141_240789_4_196397894	76	111	24	0	5	439	143
SRR13225448_k141_213589_1_336538818	202	69	32	0	3	291	271
SRR8797414_k141_67312_1_62937428	13	47	41	0	11	123	118
SRR22372548_k141_85874_1_218303891	63	159	36	0	20	107	76
