Representative	AS	DW	GW	Group	MW	NW	WW
SRR22752042_k141_1136401_1_284482853	347	218	115	0	8	532	497
SRR13608700_k141_1180583_4_385568506	399	251	138	0	20	590	507
SRR12964613_k141_101788_2_114375857	370	182	102	0	5	486	489
ERR1713361_k141_38052_4_115353108	304	194	125	0	4	419	489
SRR18749959_k141_176336_2_92117539	315	191	105	0	5	435	383
ERR11269306_k141_1253266_1_204623035	478	322	104	0	75	458	338
SRR18331990_k141_14371_1_174281299	440	235	130	0	11	553	507
ERR1713352_k141_661324_3_107237375	540	292	163	0	23	601	522
SRR14932486_k141_531574_1_459873219	438	224	116	0	12	548	492
ERR4678649_k141_1789291_1_123547796	412	218	125	0	4	529	493
ERR5954384_k141_677266_9_183054157	344	189	109	0	1	376	360
ERR4869726_k141_34286_8_25808299	414	220	104	0	16	550	495
SRR19238500_k141_127876_36_119024453	465	352	134	0	507	432	258
SRR11673976_k141_1054498_1_418498239	422	246	119	0	35	571	405
SRR22752014_k141_483950_7_260664708	414	226	125	0	4	525	451
SRR4754862_k141_83150_2_117795419	511	282	150	0	14	593	512
SRR13727521_k141_33515_4_119616988	469	269	156	0	17	600	494
SRR6439732_k141_151091_1_201155105	332	181	110	0	4	492	446
ERR4678653_k141_534824_1_269710804	528	257	156	0	21	588	508
SRR18331973_k141_88522_5_145315518	406	237	124	0	13	548	508
SRR14932584_k141_515874_1_618756567	401	185	108	0	35	531	471
SRR22105541_k141_477608_1_150783877	496	203	91	0	2	446	280
SRR24226018_k141_66533_4_198677269	405	225	105	0	5	524	460
SRR14751604_k141_1934142_1_462062524	481	282	164	0	16	593	513
SRR14932576_k141_1114473_1_606306420	387	189	95	0	3	401	344
SRR8831205_k141_717563_2_216906948	487	263	121	0	289	547	299
SRR15085116_k141_56643_1_50755024	369	210	112	0	7	354	315
ERR4222572_k141_369837_2_56383278	498	241	126	0	13	560	502
SRR21427519_k141_365837_32_147276137	540	308	175	0	25	610	512
SRR6337691_k141_102753_7_505737735	397	212	100	0	10	543	498
SRR11088441_k141_230340_4_387416938	493	227	111	0	132	590	462
SRR12113397_k141_301576_1_70094174	437	223	137	0	141	495	406
