Category	Comparison	Functional_1	Functional_2	Odds_Ratio	P_value	P_adj_BH
VF	PIPGs vs Random_all	617	1475	1.0380420388053255	0.4364442558905272	0.4364442558905272
VF	PIPGs vs Random_mega	617	849	1.3504159919680416	2.1908131657790096e-8	2.3899779990316466e-8
VF	PIPGs vs Random_small	617	626	0.6143476552391232	2.4015569408797904e-17	2.881868329055748e-17
ARG	PIPGs vs Random_all	14	971	0.03545440641442249	1.9060212836282595e-120	3.2674650576484445e-120
ARG	PIPGs vs Random_mega	14	653	0.03939021900605412	3.933726329928945e-101	5.2449684399052596e-101
ARG	PIPGs vs Random_small	14	318	0.02737312854180655	2.331813147610732e-111	3.497719721416098e-111
TE	PIPGs vs Random_all	520	6647	0.184389157426071	0	0
TE	PIPGs vs Random_mega	520	4698	0.19544384195934308	0	0
TE	PIPGs vs Random_small	520	1949	0.15781542451082292	0	0

