plasmid_id,length,AS_SRR11088434,AS_SRR11235435,AS_SRR11673976,AS_SRR11783213,AS_SRR13994250,AS_SRR14932642,AS_SRR8208348,AS_SRR8351382,AS_SRR8831201,AS_SRR9261047,DW_SRR15085115,NW_SRR13225453,NW_SRR13225455,NW_SRR13608705,NW_SRR13608725,NW_SRR14751605,NW_SRR21694251,NW_SRR21802946,NW_SRR25018385,WW_ERR11269302,WW_ERR1713344,WW_ERR2592329,WW_ERR4678576,WW_ERR9855099,WW_SRR11088392,WW_SRR12396704,WW_SRR22752015,WW_SRR8208343,WW_SRR8648016,DW_SRR17063163,DW_SRR18749962,DW_SRR19238510,DW_SRR21802943,DW_SRR22105540,DW_SRR22372546,DW_SRR6439731,DW_SRR7369915,GW_ERR3281033,GW_SRR12964613,GW_SRR13727526,GW_SRR13727538,GW_SRR15669520,GW_SRR18331974,GW_SRR20309467,GW_SRR21427518,GW_SRR26726064,GW_SRR7912025,NW_SRR11088437,DW_SRR15085116,NW_SRR12404955
NZ_CP138514.1,1192185,20814.097851460523,22843.292825193996,22515.30759964911,18857.185273638093,23294.796018487625,18110.238596834846,17447.035273276957,9335.004945396995,17050.885554260356,17771.992773454745,15002.521483750843,13099.421972690485,13392.023240084822,14505.887891507955,13120.976698225346,11552.441933949509,11332.05716097655,13406.560889338842,17715.552860943404,9904.132553799696,16988.80470190304,14008.56058464874,12946.54857396327,16633.031590522663,18684.526576045457,5777.502917402719,7691.805580757474,10802.863366862046,19845.472944098397,14774.276534063602,17626.315161311286,11148.07718730272,15357.701715168216,19475.55924753569,9790.131695517966,18802.70791025288,11353.30639212729,22421.318017315458,18756.336398764313,20186.181856448653,19411.304941990857,13878.332971066055,10077.665144395833,11654.951497241253,12971.838824433287,15167.194674146744,11905.158253011674,19958.27461849385,14571.417342355515,7128.848262478245
NZ_CP138516.1,1298350,20149.93347606406,21968.15557887901,21606.565724401928,18055.884156692788,22557.60038039543,17431.439982834036,16627.21664417355,8823.121710492187,15677.504644742397,17374.559623467572,14843.492712084708,12840.96160609465,13223.254204367822,14464.88845928774,12805.976250922398,11542.661536191948,11362.722973337906,13136.803102785747,17709.99089917945,9569.00704481822,16146.362344395558,13534.523945783476,12438.598734425354,15662.683759954394,18025.78949602537,5616.904268416855,7273.790731277879,10198.341397218792,19427.180758905633,14690.320200623699,17501.826996906893,11018.291941751962,14021.042437520031,19403.938829272724,9446.711141236932,18221.714284408823,11402.103623842107,20945.220360008778,18327.80272087773,20380.545763596405,18426.813405677545,13363.554991186782,9069.141971854293,11021.804837737633,12774.311931867187,14392.260654731735,11857.955574721966,19546.578831277067,14082.712169561391,7441.385106302065
NZ_CP138497.1,938298,18329.426879434304,19876.211478730966,19242.99650120283,16353.580071915234,19821.2466833598,15855.352827086805,12370.176650546115,7179.216576268661,11839.382426300457,15342.033256744302,13087.308513539236,11707.381662724018,11806.230086565472,12781.280533863886,10755.883772898209,8916.89917541461,10477.115504402636,11359.636395035182,14075.241185668296,8743.049321572931,13419.543447598106,12614.966986005094,11813.433033044194,13171.657328948142,15825.7025705211,4284.593319631187,6268.961149533364,8953.375314351488,18139.941595466018,12522.852816178176,15885.266192646772,10351.318609196396,12418.081900869323,16456.139560807977,7759.724043397051,16313.663068781052,10586.183084715169,19200.419563987987,13014.694493649857,17944.156547684943,15583.967527534744,11462.439366705878,9395.499254807874,9210.149554853064,10956.074157171679,13539.592418253022,10950.680617987255,17093.93985602154,12834.526933719297,6008.375107110916
NZ_CP076395.1,404150,24465.443866715173,25591.91102200228,25439.422597239478,25530.432516216566,29761.704552640545,21564.54688684234,27271.517551474437,36230.03163286686,14981.15589706822,24299.270835821528,68412.56503722606,21260.943648914094,22057.805200528008,59894.66558886767,45174.12347689276,12175.143493637375,14670.594564087598,20615.534608079564,29704.992007736822,34004.56321231563,24890.456995841203,21351.491361469583,16198.03529329647,26155.633750940964,18936.809944531466,14365.64988131207,13727.393324390314,20113.659135707745,22538.32760598295,26369.603101194636,31767.432356109814,77322.01379871713,94133.6888240851,24512.25889082556,113719.31322842058,24136.051572684955,12521.136844987808,41569.908539475786,10020.453886993757,19825.97373435323,16272.07227107141,39967.73848466029,9648.742181768572,9256.4256588156,24523.89399128266,23364.87861823363,65370.63614249554,23177.609020085576,73197.85256424782,25076.053981320867
NZ_CP136338.1,142941,18256.219923042237,17193.136911479924,16801.97368988866,21146.34569792693,14196.774754574039,24424.452102228995,22088.31921364446,32796.86957261733,30979.48653742989,19512.325875710994,11484.604562154067,18552.875214433323,18106.768708156753,15980.677814542785,25518.6668880111,28238.25482183214,20958.79206970815,23377.101416261492,14578.504820470587,31226.999137819123,21790.04834769173,22582.851252281085,28297.05192315864,21451.413904274308,15498.42963610673,30711.043846684242,32161.955575086664,20700.690191457248,19854.24235239654,18488.249921248625,14517.664635273282,14847.020064329281,14773.0008153904,12280.23414988116,18240.377677554865,20008.959397431663,27428.963261573863,13508.6065183767,24092.596693302545,15995.373016057878,17139.268221273665,18090.253819638543,51630.8803475394,25043.18908211757,27702.95905571332,22088.816937724507,14773.545256673568,14039.079621175053,12339.186435144822,14590.284298568773
NZ_CP155749.1,880083,24543.387118536237,25055.09181691176,25139.393129491044,23704.114590723148,27433.95848061522,20873.40529604522,18696.83587552815,18896.408460838767,13163.987763175557,24871.231026168156,55964.01349344105,19378.172784596045,21373.18384682415,36502.066649343986,22185.175427040405,13620.301703664083,15038.929133997475,19741.801217837503,28233.872845326674,15564.627224438189,20620.552131226712,17255.8421916081,15014.822057504512,20835.921798680378,22558.260615764513,9481.58752982739,8449.22864739601,13743.31122322291,23588.717031136963,23912.00953813533,28789.639310563874,33620.21741838163,37208.16073228997,25854.508035963878,61886.82325255471,21978.311495539212,12970.159244071616,37257.248103566955,11112.787206607718,23059.332831386808,17353.854879439332,28561.26747102227,7150.149804996725,8480.065517417077,23099.436532200503,18804.090868228497,45275.47524287575,26175.36408977526,65985.32992943481,26570.920760974554
NZ_CP149519.1,94230,17255.95860937089,16126.575525064129,16410.255354240562,16881.048234610065,17489.38904209386,12824.153719647178,12133.452035862865,15829.166994412735,8381.026849783126,21018.805507983765,13797.65301947241,12189.018329747854,12786.517318386475,11733.480474054744,7690.6849672064045,7331.683651402641,8465.796551968888,10832.94581926897,12575.406233294572,6570.282765082363,12395.301261013226,9285.065359945538,9476.903643410154,13757.160618364847,12624.451571531668,3624.2240056059736,8871.184808511527,13976.139121174214,15927.28901144454,7935.753747861913,12224.361271677684,8720.474682589298,10245.556385329775,11940.95685504747,11575.57993731929,15415.016287765533,8017.481942519406,11603.60284737692,5113.78877400001,13764.469793988079,12903.63554225887,23379.39873409186,3056.6833369441774,4567.29118936414,6523.26623025879,10694.725245140771,4485.073941322135,14749.053428937461,14092.409979054913,4272.031765205523
NZ_LR743510.1,2832553,22374.21386589007,22725.343595856095,23602.485106206295,21656.565343886825,27316.939180558493,17660.805488294693,20846.276841279632,14385.523580308716,13582.654687586522,17975.37383593679,49155.5627301802,13232.16132630042,14141.049834558828,21712.31605354163,14192.54377478444,9573.70194228823,13939.794344229202,15131.195022227583,19146.455022577124,11686.048130893725,17879.586430058283,12996.68641374284,11575.898661811767,18286.77931743853,17024.924575142133,6613.648683441205,7974.275235821462,13734.79066161722,20561.845167628016,19017.2022167121,19977.0454416253,15027.123626156605,17113.030425491448,24563.950214040186,16788.248273310644,19559.30148639003,13350.8515776377,20511.552886028137,11564.13949599693,21495.372610170914,17142.576329225434,17326.374896450547,4934.987045288983,7724.334098975538,11027.68291322139,12199.333492898024,10951.470583693688,21127.922766101936,37166.96186185562,14288.436335803175
NZ_CP062179.1,763274,10753.761087323983,11910.322913471698,11353.70398653051,10338.284420520387,11454.03264438094,8660.681045998133,6692.880349521749,3792.4570754000397,6143.830093945424,7933.360980134254,7939.649670340186,5961.030148589185,6358.910817776606,7389.44771666274,4700.421271947449,3806.55939390399,6454.063417787403,5960.668142779444,7682.365287829753,3818.890228720933,7616.6649805169,6602.122171515047,5601.375127549985,7381.778082444261,8874.11110190021,2055.1818947883007,2776.9249327184743,4687.001735202072,11431.387372164336,7826.397540896423,9922.158855873051,6417.207067910506,7608.194071694071,9856.00549595347,3830.797726362425,9087.84824082175,5817.001852779223,8807.492048316435,4972.147001763134,9712.429743528965,8658.34781292334,6100.7301560666965,2366.7934686485933,2989.2507210561303,4627.859025352184,5162.980491096099,4789.730033758865,10434.710733502989,7825.040345737559,2928.3641633892144
NZ_CP046503.1,311349,4611.951829472723,4577.61772213982,3425.1525027244606,5138.830204091598,3170.4756481424924,4858.13265729529,2658.184020233621,4405.1408237131745,3119.294297110032,4446.418218832067,12023.93092481468,3835.742144629536,4206.579796351201,2526.6985645230016,2108.791838056416,2163.1782183043824,4459.766275439865,1931.846017290982,2203.4694036160513,15693.07743394075,8299.931472259104,13793.789373648375,7724.883736287949,7058.006334041675,6901.057204933813,2383.299993574124,4151.303451260289,11958.827030991022,5784.162147259549,2224.286305633876,4581.412922468122,2631.418290193918,5207.627679672089,3119.075958025429,4911.094114865503,5417.9764898030835,2998.8919994971893,2439.511832150659,2039.2050888225162,4120.140000574149,4360.368484607974,2226.0355202031537,2442.608194091079,921.6792117562769,1348.9869302871032,1651.9070383038945,1286.3989066045567,4942.268394655029,9421.76011712727,1671.3716367219522
