sample,total_reads,rpkm_mean,tpm_mean,max_rpkm,max_tpm
AS_SRR11088434,21250059,22.305860765871294,21739.13043478261,61.23728572568625,59681.41538387049
AS_SRR11235435,16140685,21.707665019930594,21739.130434782604,54.0516292413109,54129.977462362935
AS_SRR11673976,37077319,21.62042088612547,21739.130434782615,56.99989149566863,57312.85632778711
AS_SRR11783213,1652850,22.704955611453414,21739.130434782604,78.51347210358605,75173.65988976113
AS_SRR13994250,34961280,20.522677790463796,21739.130434782608,45.25468889718284,47937.09645329538
AS_SRR14932642,9883264,24.949754608645854,21739.130434782608,129.80213913189556,113098.73293600419
AS_SRR8208348,4321016,24.66810671345907,21739.130434782615,139.14382105539164,122622.53079466474
AS_SRR8351382,8837155,30.082039553274377,21739.130434782604,243.72186723309278,176128.39888086182
AS_SRR8831201,3688271,27.644191918971107,21739.130434782604,194.28157807363115,152781.1910435928
AS_SRR9261047,3969501,24.506979034238306,21739.130434782608,113.38002783072083,100574.74690241559
DW_SRR15085115,10837708,22.12841515745404,21739.130434782604,69.63763549198293,68412.56503722606
NW_SRR13225453,2907474,28.805915497504657,21739.130434782604,229.17606523455777,172953.6551301721
NW_SRR13225455,2404277,28.374151385253615,21739.130434782608,194.17730443865045,148770.81930493066
NW_SRR13608705,8489775,24.132241382459586,21739.130434782608,134.2243915440551,120913.82267651375
NW_SRR13608725,9555534,29.521988979715044,21739.130434782604,260.1998281449692,191603.5537794616
NW_SRR14751605,9317242,33.86695955237286,21739.13043478261,399.04333413493487,256145.0807674317
NW_SRR21694251,3717427,30.070341265671146,21739.130434782604,210.92410872710795,152486.02172312347
NW_SRR21802946,2897382,27.842653249904036,21739.130434782604,204.9757780544617,160042.04538633014
NW_SRR25018385,6938426,24.848800754350993,21739.13043478261,137.45724282558035,120255.33789463248
WW_ERR11269302,14537348,32.5591922334891,21739.13043478261,351.5153650734296,234699.8757328392
WW_ERR1713344,7995477,24.88218927873302,21739.130434782604,147.2561645936808,128655.11686159983
WW_ERR2592329,11035049,26.652342995524638,21739.130434782608,177.90738930004483,145111.14245958588
WW_ERR4678576,24606060,30.553707383408813,21739.130434782604,262.38847378980773,186690.83868354352
WW_ERR9855099,6635986,25.392083330954367,21739.13043478261,167.32249357304084,143251.16474484632
WW_SRR11088392,14342370,20.694695497970816,21739.130434782604,73.0010938735767,76685.36614878447
WW_SRR12396704,2317184,47.68998044144592,21739.130434782604,713.440189079189,325216.51684993267
WW_SRR22752015,3436304,34.90350745420001,21739.130434782604,346.2573605220322,215661.2464884592
WW_SRR8208343,8117567,24.338720717899513,21739.130434782615,160.61232248944282,143457.50824378978
WW_SRR8648016,5589885,23.095754246666456,21739.13043478261,86.70653633093963,81613.47244671933
DW_SRR17063163,5103043,25.749808363622957,21739.130434782604,178.10824196415336,150366.87842067413
DW_SRR18749962,6919479,24.102287372964863,21739.130434782615,134.12892134960975,120977.98317542762
DW_SRR19238510,8003861,28.93145279255637,21739.130434782604,244.82237162827903,183959.8415033381
DW_SRR21802943,4315247,24.6607049656428,21739.130434782604,106.78454386124596,94133.6888240851
DW_SRR22105540,4583395,22.256685240004824,21739.13043478261,95.13420409173533,92921.96251408264
DW_SRR22372546,3875149,30.43664463972099,21739.130434782604,160.41256251509904,114573.3920795753
DW_SRR6439731,8753518,23.33775151787959,21739.130434782604,90.07359734359754,83903.61341718775
DW_SRR7369915,2830731,27.92383384570641,21739.130434782604,229.25579188219368,178479.12969954524
GW_ERR3281033,15544801,21.05255377906526,21739.130434782608,56.39410046319078,58233.25372243612
GW_SRR12964613,6869064,29.180245555683886,21739.13043478261,260.9899933772522,194436.1810586608
GW_SRR13727526,20971701,22.372230081042634,21739.130434782615,95.77462120657285,93064.34696985519
GW_SRR13727538,20008569,25.773018754799057,21739.130434782604,137.0174532247311,115572.03740208031
GW_SRR15669520,8103567,25.782546496189966,21739.130434782615,196.9751047454295,166083.9628505526
GW_SRR18331974,1015379,42.36909682200672,21739.130434782604,516.8166556340094,265173.0985650906
GW_SRR20309467,13755781,33.86367917717076,21739.130434782615,438.43871366061313,281460.15481837816
GW_SRR21427518,10138270,31.48962313714042,21739.130434782615,326.768825850784,225587.65140674353
GW_SRR26726064,10995600,30.591029424168557,21739.130434782604,260.10759354336443,184842.19098064248
GW_SRR7912025,9131745,28.96420860950506,21739.130434782615,199.34633568242864,149619.6927567402
NW_SRR11088437,15005439,22.601614475587784,21739.13043478261,79.1925404804251,76170.53059750462
DW_SRR15085116,12929629,23.342552479545628,21739.130434782604,78.59673688406593,73197.85256424782
NW_SRR12404955,2745783,33.39565593346982,21739.13043478261,321.8983257127173,209541.91477321964
