Group,Plasmid,Size_Category,Sample_Count,Prevalence_Pct,Total_Samples
AS,CP023017.1,Large-plasmid,4,40.0,10
AS,CP025986.1,Large-plasmid,4,40.0,10
AS,CP063167.1,Large-plasmid,5,50.0,10
AS,CP090106.1,Large-plasmid,4,40.0,10
AS,CP099606.1,Large-plasmid,5,50.0,10
AS,CP099607.1,Large-plasmid,5,50.0,10
AS,NC_008826.1,Large-plasmid,4,40.0,10
AS,NC_009037.1,Small-plasmid,2,20.0,10
AS,NZ_AP026896.1,Large-plasmid,5,50.0,10
AS,NZ_CP009453.1,Large-plasmid,4,40.0,10
AS,NZ_CP011515.1,Large-plasmid,5,50.0,10
AS,NZ_CP023549.1,Large-plasmid,4,40.0,10
AS,NZ_CP029356.1,Large-plasmid,5,50.0,10
AS,NZ_CP029358.1,Large-plasmid,5,50.0,10
AS,NZ_CP029986.1,Large-plasmid,4,40.0,10
AS,NZ_CP033971.1,Large-plasmid,2,20.0,10
AS,NZ_CP035709.1,Small-plasmid,6,60.0,10
AS,NZ_CP039965.1,Large-plasmid,1,10.0,10
AS,NZ_CP046503.1,Large-plasmid,0,0.0,10
AS,NZ_CP047170.1,Large-plasmid,4,40.0,10
AS,NZ_CP049906.1,Large-plasmid,2,20.0,10
AS,NZ_CP049912.1,Small-plasmid,10,100.0,10
AS,NZ_CP069303.1,Large-plasmid,6,60.0,10
AS,NZ_CP069372.1,Small-plasmid,7,70.0,10
AS,NZ_CP071828.1,Large-plasmid,3,30.0,10
AS,NZ_CP076395.1,Large-plasmid,6,60.0,10
AS,NZ_CP080763.1,Small-plasmid,10,100.0,10
AS,NZ_CP083452.1,Large-plasmid,5,50.0,10
AS,NZ_CP088082.1,Large-plasmid,5,50.0,10
AS,NZ_CP093017.1,Large-plasmid,0,0.0,10
AS,NZ_CP101744.1,Large-plasmid,0,0.0,10
AS,NZ_CP115942.1,Large-plasmid,4,40.0,10
AS,NZ_CP115947.1,Large-plasmid,5,50.0,10
AS,NZ_CP117194.1,Large-plasmid,7,70.0,10
AS,NZ_CP136338.1,Large-plasmid,4,40.0,10
AS,NZ_CP138497.1,Large-plasmid,4,40.0,10
AS,NZ_CP138514.1,Large-plasmid,4,40.0,10
AS,NZ_CP138516.1,Large-plasmid,4,40.0,10
AS,NZ_CP149519.1,Small-plasmid,4,40.0,10
AS,NZ_CP155749.1,Large-plasmid,4,40.0,10
AS,NZ_LR743510.1,Large-plasmid,4,40.0,10
DW,CP023017.1,Large-plasmid,0,0.0,10
DW,CP025986.1,Large-plasmid,0,0.0,10
DW,CP063167.1,Large-plasmid,1,10.0,10
DW,CP090106.1,Large-plasmid,0,0.0,10
DW,CP099606.1,Large-plasmid,2,20.0,10
DW,CP099607.1,Large-plasmid,2,20.0,10
DW,NC_008826.1,Large-plasmid,0,0.0,10
DW,NC_009037.1,Small-plasmid,1,10.0,10
DW,NZ_AP026896.1,Large-plasmid,2,20.0,10
DW,NZ_CP009453.1,Large-plasmid,2,20.0,10
DW,NZ_CP011515.1,Large-plasmid,2,20.0,10
DW,NZ_CP023549.1,Large-plasmid,0,0.0,10
DW,NZ_CP029356.1,Large-plasmid,2,20.0,10
DW,NZ_CP029358.1,Large-plasmid,3,30.0,10
DW,NZ_CP029986.1,Large-plasmid,1,10.0,10
DW,NZ_CP033971.1,Large-plasmid,0,0.0,10
DW,NZ_CP035709.1,Small-plasmid,0,0.0,10
DW,NZ_CP039965.1,Large-plasmid,0,0.0,10
DW,NZ_CP046503.1,Large-plasmid,0,0.0,10
DW,NZ_CP047170.1,Large-plasmid,0,0.0,10
DW,NZ_CP049906.1,Large-plasmid,0,0.0,10
DW,NZ_CP049912.1,Small-plasmid,5,50.0,10
DW,NZ_CP069303.1,Large-plasmid,1,10.0,10
DW,NZ_CP069372.1,Small-plasmid,4,40.0,10
DW,NZ_CP071828.1,Large-plasmid,0,0.0,10
DW,NZ_CP076395.1,Large-plasmid,7,70.0,10
DW,NZ_CP080763.1,Small-plasmid,10,100.0,10
DW,NZ_CP083452.1,Large-plasmid,1,10.0,10
DW,NZ_CP088082.1,Large-plasmid,1,10.0,10
DW,NZ_CP093017.1,Large-plasmid,0,0.0,10
DW,NZ_CP101744.1,Large-plasmid,0,0.0,10
DW,NZ_CP115942.1,Large-plasmid,0,0.0,10
DW,NZ_CP115947.1,Large-plasmid,1,10.0,10
DW,NZ_CP117194.1,Large-plasmid,2,20.0,10
DW,NZ_CP136338.1,Large-plasmid,0,0.0,10
DW,NZ_CP138497.1,Large-plasmid,0,0.0,10
DW,NZ_CP138514.1,Large-plasmid,0,0.0,10
DW,NZ_CP138516.1,Large-plasmid,0,0.0,10
DW,NZ_CP149519.1,Small-plasmid,0,0.0,10
DW,NZ_CP155749.1,Large-plasmid,0,0.0,10
DW,NZ_LR743510.1,Large-plasmid,2,20.0,10
GW,CP023017.1,Large-plasmid,0,0.0,10
GW,CP025986.1,Large-plasmid,2,20.0,10
GW,CP063167.1,Large-plasmid,4,40.0,10
GW,CP090106.1,Large-plasmid,0,0.0,10
GW,CP099606.1,Large-plasmid,3,30.0,10
GW,CP099607.1,Large-plasmid,3,30.0,10
GW,NC_008826.1,Large-plasmid,0,0.0,10
GW,NC_009037.1,Small-plasmid,0,0.0,10
GW,NZ_AP026896.1,Large-plasmid,1,10.0,10
GW,NZ_CP009453.1,Large-plasmid,3,30.0,10
GW,NZ_CP011515.1,Large-plasmid,3,30.0,10
GW,NZ_CP023549.1,Large-plasmid,1,10.0,10
GW,NZ_CP029356.1,Large-plasmid,3,30.0,10
GW,NZ_CP029358.1,Large-plasmid,3,30.0,10
GW,NZ_CP029986.1,Large-plasmid,1,10.0,10
GW,NZ_CP033971.1,Large-plasmid,0,0.0,10
GW,NZ_CP035709.1,Small-plasmid,1,10.0,10
GW,NZ_CP039965.1,Large-plasmid,0,0.0,10
GW,NZ_CP046503.1,Large-plasmid,0,0.0,10
GW,NZ_CP047170.1,Large-plasmid,0,0.0,10
GW,NZ_CP049906.1,Large-plasmid,0,0.0,10
GW,NZ_CP049912.1,Small-plasmid,3,30.0,10
GW,NZ_CP069303.1,Large-plasmid,3,30.0,10
GW,NZ_CP069372.1,Small-plasmid,6,60.0,10
GW,NZ_CP071828.1,Large-plasmid,0,0.0,10
GW,NZ_CP076395.1,Large-plasmid,5,50.0,10
GW,NZ_CP080763.1,Small-plasmid,10,100.0,10
GW,NZ_CP083452.1,Large-plasmid,2,20.0,10
GW,NZ_CP088082.1,Large-plasmid,3,30.0,10
GW,NZ_CP093017.1,Large-plasmid,0,0.0,10
GW,NZ_CP101744.1,Large-plasmid,0,0.0,10
GW,NZ_CP115942.1,Large-plasmid,1,10.0,10
GW,NZ_CP115947.1,Large-plasmid,2,20.0,10
GW,NZ_CP117194.1,Large-plasmid,2,20.0,10
GW,NZ_CP136338.1,Large-plasmid,0,0.0,10
GW,NZ_CP138497.1,Large-plasmid,0,0.0,10
GW,NZ_CP138514.1,Large-plasmid,2,20.0,10
GW,NZ_CP138516.1,Large-plasmid,2,20.0,10
GW,NZ_CP149519.1,Small-plasmid,0,0.0,10
GW,NZ_CP155749.1,Large-plasmid,2,20.0,10
GW,NZ_LR743510.1,Large-plasmid,0,0.0,10
NW,CP023017.1,Large-plasmid,1,10.0,10
NW,CP025986.1,Large-plasmid,1,10.0,10
NW,CP063167.1,Large-plasmid,2,20.0,10
NW,CP090106.1,Large-plasmid,1,10.0,10
NW,CP099606.1,Large-plasmid,3,30.0,10
NW,CP099607.1,Large-plasmid,4,40.0,10
NW,NC_008826.1,Large-plasmid,1,10.0,10
NW,NC_009037.1,Small-plasmid,5,50.0,10
NW,NZ_AP026896.1,Large-plasmid,3,30.0,10
NW,NZ_CP009453.1,Large-plasmid,3,30.0,10
NW,NZ_CP011515.1,Large-plasmid,3,30.0,10
NW,NZ_CP023549.1,Large-plasmid,1,10.0,10
NW,NZ_CP029356.1,Large-plasmid,2,20.0,10
NW,NZ_CP029358.1,Large-plasmid,2,20.0,10
NW,NZ_CP029986.1,Large-plasmid,2,20.0,10
NW,NZ_CP033971.1,Large-plasmid,0,0.0,10
NW,NZ_CP035709.1,Small-plasmid,7,70.0,10
NW,NZ_CP039965.1,Large-plasmid,1,10.0,10
NW,NZ_CP046503.1,Large-plasmid,0,0.0,10
NW,NZ_CP047170.1,Large-plasmid,1,10.0,10
NW,NZ_CP049906.1,Large-plasmid,0,0.0,10
NW,NZ_CP049912.1,Small-plasmid,8,80.0,10
NW,NZ_CP069303.1,Large-plasmid,3,30.0,10
NW,NZ_CP069372.1,Small-plasmid,9,90.0,10
NW,NZ_CP071828.1,Large-plasmid,0,0.0,10
NW,NZ_CP076395.1,Large-plasmid,5,50.0,10
NW,NZ_CP080763.1,Small-plasmid,10,100.0,10
NW,NZ_CP083452.1,Large-plasmid,3,30.0,10
NW,NZ_CP088082.1,Large-plasmid,3,30.0,10
NW,NZ_CP093017.1,Large-plasmid,1,10.0,10
NW,NZ_CP101744.1,Large-plasmid,0,0.0,10
NW,NZ_CP115942.1,Large-plasmid,1,10.0,10
NW,NZ_CP115947.1,Large-plasmid,1,10.0,10
NW,NZ_CP117194.1,Large-plasmid,3,30.0,10
NW,NZ_CP136338.1,Large-plasmid,1,10.0,10
NW,NZ_CP138497.1,Large-plasmid,1,10.0,10
NW,NZ_CP138514.1,Large-plasmid,1,10.0,10
NW,NZ_CP138516.1,Large-plasmid,1,10.0,10
NW,NZ_CP149519.1,Small-plasmid,1,10.0,10
NW,NZ_CP155749.1,Large-plasmid,2,20.0,10
NW,NZ_LR743510.1,Large-plasmid,1,10.0,10
WW,CP023017.1,Large-plasmid,0,0.0,10
WW,CP025986.1,Large-plasmid,2,20.0,10
WW,CP063167.1,Large-plasmid,3,30.0,10
WW,CP090106.1,Large-plasmid,2,20.0,10
WW,CP099606.1,Large-plasmid,7,70.0,10
WW,CP099607.1,Large-plasmid,7,70.0,10
WW,NC_008826.1,Large-plasmid,0,0.0,10
WW,NC_009037.1,Small-plasmid,5,50.0,10
WW,NZ_AP026896.1,Large-plasmid,10,100.0,10
WW,NZ_CP009453.1,Large-plasmid,4,40.0,10
WW,NZ_CP011515.1,Large-plasmid,7,70.0,10
WW,NZ_CP023549.1,Large-plasmid,2,20.0,10
WW,NZ_CP029356.1,Large-plasmid,4,40.0,10
WW,NZ_CP029358.1,Large-plasmid,7,70.0,10
WW,NZ_CP029986.1,Large-plasmid,3,30.0,10
WW,NZ_CP033971.1,Large-plasmid,0,0.0,10
WW,NZ_CP035709.1,Small-plasmid,5,50.0,10
WW,NZ_CP039965.1,Large-plasmid,0,0.0,10
WW,NZ_CP046503.1,Large-plasmid,6,60.0,10
WW,NZ_CP047170.1,Large-plasmid,2,20.0,10
WW,NZ_CP049906.1,Large-plasmid,0,0.0,10
WW,NZ_CP049912.1,Small-plasmid,10,100.0,10
WW,NZ_CP069303.1,Large-plasmid,7,70.0,10
WW,NZ_CP069372.1,Small-plasmid,9,90.0,10
WW,NZ_CP071828.1,Large-plasmid,0,0.0,10
WW,NZ_CP076395.1,Large-plasmid,7,70.0,10
WW,NZ_CP080763.1,Small-plasmid,10,100.0,10
WW,NZ_CP083452.1,Large-plasmid,8,80.0,10
WW,NZ_CP088082.1,Large-plasmid,7,70.0,10
WW,NZ_CP093017.1,Large-plasmid,0,0.0,10
WW,NZ_CP101744.1,Large-plasmid,1,10.0,10
WW,NZ_CP115942.1,Large-plasmid,1,10.0,10
WW,NZ_CP115947.1,Large-plasmid,2,20.0,10
WW,NZ_CP117194.1,Large-plasmid,8,80.0,10
WW,NZ_CP136338.1,Large-plasmid,0,0.0,10
WW,NZ_CP138497.1,Large-plasmid,0,0.0,10
WW,NZ_CP138514.1,Large-plasmid,2,20.0,10
WW,NZ_CP138516.1,Large-plasmid,2,20.0,10
WW,NZ_CP149519.1,Small-plasmid,1,10.0,10
WW,NZ_CP155749.1,Large-plasmid,2,20.0,10
WW,NZ_LR743510.1,Large-plasmid,1,10.0,10
