Bin	Group	iRep	Coverage	Domin	Phylun	Class	Order	Family	Genus	Specie
AS-SRR13994250_bin.207	AS	1.505346837	27.59948681	d__Bacteria	p__Bdellovibrionota	c__FAC87	o__	f__	g__	s__
DW-ERR2105748_bin.91	DW	1.501308988	14.45390046	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__20CM-2-55-15	f__20CM-2-55-15	g__DSPE01	s__
AS-SRR3501861_bin.29	AS	1.759993519	8.753864749	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__70-9	g__67-14	s__
GW-SRR12113409_bin.92	GW	1.520215866	15.61675074	d__Bacteria	p__Nitrospirota	c__9FT-COMBO-42-15	o__9FT-COMBO-42-15	f__9FT-COMBO-42-15	g__JACPZJ01	s__JACPZJ01 sp016195585
DW-ERR2105748_bin.6	DW	1.358953314	53.10680817	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__BOG-934	s__
DW-ERR2105750_bin.79	DW	1.601986532	32.36231918	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__BOG-934	s__
DW-ERR2163668_bin.57	DW	1.320207774	85.8775054	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__BOG-934	s__
DW-ERR2163668_bin.60	DW	1.234961641	65.43856991	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Crenalkalicoccus	s__
GW-SRR12113392_bin.47	GW	1.305253765	15.25961982	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aestuariivirgaceae	g__Aestuariivirga	s__Aestuariivirga sp016185245
GW-SRR15669520_bin.27	GW	1.535168604	10.48236233	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Arcobacteraceae	g__Aliarcobacter	s__
GW-ERR3858119_bin.117	GW	1.288679832	12.39080057	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__UBA5009	s__
DW-SRR19238497_bin.50	DW	1.322981305	34.09047426	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Bosea	s__
DW-SRR15085115_bin.63	DW	1.601303929	18.19057472	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Methylobacterium	s__
GW-SRR12113391_bin.15	GW	1.221249535	31.29452244	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__Bin18	f__Bin18	g__SYOC01	s__SYOC01 sp016197285
GW-SRR13727527_bin.196	GW	1.306352164	16.20250955	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__Binatales	f__Binataceae	g__Binatus	s__
DW-ERR2105750_bin.91	DW	1.172022984	113.9516661	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
DW-ERR2163668_bin.37	DW	1.166318178	37.22414871	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
DW-SRR24226005_bin.50	DW	1.331801182	17.41837228	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
GW-SRR7912025_bin.18	GW	1.40242132	149.6889522	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Acidovorax	s__Acidovorax sp001411535
AS-SRR14932479_bin.9	AS	1.578738023	7.093276774	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Aquabacterium	s__
DW-SRR18749950_bin.53	DW	1.409589076	23.78871098	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Aquabacterium	s__Aquabacterium parvum
DW-SRR18749951_bin.4	DW	1.309917064	32.31956471	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Aquabacterium	s__Aquabacterium parvum
DW-SRR19238497_bin.64	DW	1.334552705	21.12510346	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Aquabacterium	s__Aquabacterium sp004322345
GW-SRR12113392_bin.85	GW	1.549322006	7.095536191	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Aquabacterium	s__Aquabacterium sp016185075
GW-SRR21427516_bin.66	GW	1.365645318	17.12432271	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Aquabacterium	s__
WW-ERR1713341_bin.19	WW	1.619812971	8.382984393	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Brachymonas	s__Brachymonas sp017993135
WW-ERR4678577_bin.39	WW	1.775682892	18.89359254	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Brachymonas	s__Brachymonas sp017993135
WW-ERR4678578_bin.44	WW	1.615464888	27.02582368	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Brachymonas	s__Brachymonas sp017993135
WW-ERR9855085_bin.11	WW	1.98264216	37.87306073	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Brachymonas	s__Brachymonas sp018054915
WW-ERR9855085_bin.40	WW	1.766824721	6.738036085	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Brachymonas	s__
WW-SRR11088379_bin.23	WW	1.84063714	12.36024829	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Brachymonas	s__Brachymonas sp017993135
DW-ERR2105748_bin.98	DW	1.712679101	9.564557694	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__CAISIP01	s__CAISIP01 sp903885415
DW-ERR2105750_bin.47	DW	1.687308213	10.11985103	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__CAISIP01	s__CAISIP01 sp903885415
DW-ERR2163668_bin.1	DW	1.775456956	10.83656891	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__CAISIP01	s__CAISIP01 sp903885415
GW-ERR3281022_bin.29	GW	1.777765358	15.76790187	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Caldimonas	s__
AS-SRR11088370_bin.12	AS	2.451005323	11.70537895	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Comamonas	s__Comamonas denitrificans_A
WW-ERR4678578_bin.66	WW	1.976071098	114.8196404	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Comamonas	s__Comamonas denitrificans_A
DW-SRR6986809_bin.10	DW	1.511107115	18.11730605	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Duganella	s__Duganella sp000335815
WW-ERR1713342_bin.38	WW	1.766110548	18.07351198	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Extensimonas	s__Extensimonas vulgaris
AS-SRR3501884_bin.57	AS		6.104412341	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Giesbergeria	s__Giesbergeria sp010020825
NW-SRR10132616_bin.9	NW	1.361360082	12.98303412	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Herminiimonas	s__
GW-ERR3281023_bin.11	GW	1.763705519	26.51454558	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Hydrogenophaga	s__
GW-SRR12964611_bin.64	GW		23.99625178	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Hydrogenophaga	s__Hydrogenophaga sp018780385
