Plasmid,Length,Size_Category
NZ_AP026896.1,4944632,Large-plasmid
NZ_CP069303.1,4605385,Large-plasmid
CP090106.1,3719350,Large-plasmid
NZ_LR743510.1,2832553,Large-plasmid
CP063167.1,2479635,Large-plasmid
NZ_CP115947.1,2326525,Large-plasmid
CP025986.1,2212170,Large-plasmid
CP023017.1,2034982,Large-plasmid
NZ_CP039965.1,1584601,Large-plasmid
NZ_CP115942.1,1578131,Large-plasmid
NZ_CP138516.1,1298350,Large-plasmid
NZ_CP138514.1,1192185,Large-plasmid
NZ_CP138497.1,938298,Large-plasmid
NZ_CP029356.1,882608,Large-plasmid
NZ_CP155749.1,880083,Large-plasmid
NZ_CP023549.1,860520,Large-plasmid
NZ_CP049906.1,761384,Large-plasmid
NZ_CP088082.1,708898,Large-plasmid
NC_008826.1,599444,Large-plasmid
NZ_CP047170.1,531034,Large-plasmid
NZ_CP093017.1,436805,Large-plasmid
CP099607.1,424035,Large-plasmid
NZ_CP029358.1,405625,Large-plasmid
NZ_CP076395.1,404150,Large-plasmid
NZ_CP083452.1,372730,Large-plasmid
NZ_CP033971.1,333965,Large-plasmid
NZ_CP046503.1,311349,Large-plasmid
NZ_CP071828.1,271215,Large-plasmid
NZ_CP101744.1,265777,Large-plasmid
NZ_CP029986.1,265221,Large-plasmid
NZ_CP011515.1,262673,Large-plasmid
NZ_CP009453.1,243437,Large-plasmid
NZ_CP117194.1,187379,Large-plasmid
CP099606.1,159105,Large-plasmid
NZ_CP136338.1,142941,Large-plasmid
NZ_CP149519.1,94230,Small-plasmid
NZ_CP035709.1,84154,Small-plasmid
NZ_CP069372.1,70477,Small-plasmid
NZ_CP049912.1,42116,Small-plasmid
NZ_CP080763.1,28165,Small-plasmid
NC_009037.1,16762,Small-plasmid
