Plasmid_ID	Length	ORF_Count	ARG_Count
NZ_CP020911.1	978479	908	0
NC_010980.1	63135	79	0
NZ_MT809701.1	115662	131	1
NZ_CP017647.1	73891	105	0
NZ_CP035511.1	398426	359	0
NZ_CP069702.1	239330	266	15
CP057120.1	141909	156	0
NZ_CP035509.1	54639	61	0
NZ_CP071829.1	152479	154	0
NZ_CP037735.1	208702	272	0
NZ_AP022427.1	3560	3	0
NZ_CP010583.1	4845	7	0
NZ_CP063342.1	184822	192	3
NZ_CP055328.1	120646	130	0
NZ_CP013045.1	14060	17	0
NZ_CP066031.1	1307	1	0
NZ_CP021150.1	63992	75	0
NZ_CP015845.2	34689	45	0
NZ_CP042155.1	2880	5	0
NZ_CP053936.1	56203	82	0
NZ_LR135411.1	9317	13	0
NZ_CP039863.1	6306	6	0
NC_008389.1	5824	10	0
CP051838.1	6078	8	0
LR962077.1	54643	63	2
NZ_CP040856.1	106173	112	0
NZ_CP039265.1	13445	7	0
NZ_CP031069.1	626394	595	2
NC_011604.1	10908	14	1
CP057128.1	90031	91	0
NZ_CP070412.1	10405	14	0
NZ_CP028549.2	248112	259	0
NC_005005.1	17261	19	0
NC_015872.1	35947	46	0
NZ_MK356559.1	10218	13	0
NZ_CP071927.1	7837	9	0
CP054337.1	98630	116	0
AP024761.1	125298	147	6
NZ_CP044405.1	39455	50	0
NZ_CP023905.1	35225	52	0
NC_009929.1	226680	227	0
NZ_CP033628.1	110020	113	2
LR962249.1	119429	140	0
NZ_MF344577.1	82822	92	0
NC_008445.1	50237	65	1
CP026830.1	181100	218	0
NZ_CP007002.1	3993	6	0
NZ_CP054769.1	195034	217	0
NZ_CP053768.1	97846	111	3
NZ_CP076866.1	2509	1	0
NC_009786.1	79237	90	0
NZ_CP079648.1	5691	9	0
NC_019045.2	165974	194	4
NC_005007.1	4679	8	0
NC_015904.1	30529	42	0
NZ_CP066120.1	43270	42	4
NZ_CP055603.1	33901	49	0
NZ_KX518743.1	224736	246	2
CP049466.1	19550	23	1
NZ_CP054606.1	250456	231	0
NZ_CP053651.1	1853	4	0
NZ_CP036008.1	8128	10	0
NZ_CP032169.1	171589	191	0
NZ_CP059919.1	122123	134	5
NZ_CP062873.1	110363	126	3
NZ_LR898872.1	3838	5	0
NZ_CP016375.1	35268	48	0
NZ_CP057148.1	252642	318	0
NZ_CP077406.1	18541	25	0
CP027641.1	126957	144	0
NZ_CP057105.1	97856	102	0
NC_011667.1	78374	77	0
NC_005863.1	202301	155	0
NZ_CP033210.1	11916	14	0
NZ_CP046370.1	40311	35	0
NC_013296.1	25022	32	1
NZ_CP060170.1	93813	114	0
NZ_CP071605.1	529274	485	0
NZ_CP038397.1	66091	83	0
NZ_CP016568.1	98998	112	1
NZ_MF136778.1	47818	62	0
NZ_CP079697.1	4991	6	0
NZ_CP037935.1	36788	35	0
NZ_CP022066.2	3304	5	0
NZ_CP014531.1	32423	40	0
NZ_CP007516.1	149806	138	0
NZ_CP060037.1	387592	392	0
NZ_CP063707.1	8688	10	1
NZ_KY994647.1	4984	8	0
NZ_CP034081.1	39003	59	0
NZ_CP071461.1	38030	46	0
NZ_KX443394.1	80608	76	0
NZ_MF150536.1	47015	43	0
