Plasmid_ID	Length	ORF_Count	ARG_Count
NZ_CP138514.1	1192185	1103	1
NZ_CP138516.1	1298350	1260	1
NZ_CP138497.1	938298	849	0
NZ_CP076395.1	404150	409	0
NZ_CP136338.1	142941	120	0
NZ_CP155749.1	880083	779	1
NZ_CP149519.1	94230	92	0
NZ_LR743510.1	2832553	2575	0
NZ_CP062179.1	763274	633	1
NZ_CP046503.1	311349	396	0
NZ_CP049912.1	42116	52	0
NZ_CP049906.1	761384	666	0
NZ_CP071828.1	271215	292	0
NZ_CP069303.1	4605385	4370	1
CP063167.1	2479635	2254	0
NZ_CP062064.1	137594	155	0
NZ_CP119142.1	2167441	2124	2
NZ_CP119140.1	2168363	2127	2
NZ_CP115947.1	2326525	2065	0
NZ_CP115942.1	1578131	1405	0
NZ_CP117194.1	187379	203	0
NZ_AP026896.1	4944632	4595	5
NZ_CP101744.1	265777	264	0
CP099607.1	424035	388	0
CP099606.1	159105	138	0
NZ_CP099646.1	294790	297	0
NZ_CP047170.1	531034	478	0
NZ_CP093017.1	436805	522	0
CP090106.1	3719350	3576	0
NZ_CP088082.1	708898	698	0
NZ_CP083452.1	372730	330	0
NZ_CP069372.1	70477	76	0
NZ_CP080763.1	28165	25	0
NZ_CP011515.1	262673	218	0
NZ_CP009453.1	243437	236	0
NC_009037.1	16762	12	0
NC_008826.1	599444	656	0
NZ_CP035709.1	84154	82	0
NZ_CP039965.1	1584601	1548	0
NZ_CP033971.1	333965	308	0
CP023017.1	2034982	1633	0
NZ_CP029986.1	265221	268	0
NZ_CP029358.1	405625	368	0
NZ_CP029356.1	882608	785	0
CP025986.1	2212170	1822	0
NZ_CP023549.1	860520	782	0
