plasmid_id,length,AS_SRR11088434,AS_SRR11235435,AS_SRR11673976,AS_SRR11783213,AS_SRR13994250,AS_SRR14932642,AS_SRR8208348,AS_SRR8351382,AS_SRR8831201,AS_SRR9261047,DW_SRR15085115,NW_SRR13225453,NW_SRR13225455,NW_SRR13608705,NW_SRR13608725,NW_SRR14751605,NW_SRR21694251,NW_SRR21802946,NW_SRR25018385,WW_ERR11269302,WW_ERR1713344,WW_ERR2592329,WW_ERR4678576,WW_ERR9855099,WW_SRR11088392,WW_SRR12396704,WW_SRR22752015,WW_SRR8208343,WW_SRR8648016,DW_SRR17063163,DW_SRR18749962,DW_SRR19238510,DW_SRR21802943,DW_SRR22105540,DW_SRR22372546,DW_SRR6439731,DW_SRR7369915,GW_ERR3281033,GW_SRR12964613,GW_SRR13727526,GW_SRR13727538,GW_SRR15669520,GW_SRR18331974,GW_SRR20309467,GW_SRR21427518,GW_SRR26726064,GW_SRR7912025,NW_SRR11088437,DW_SRR15085116,NW_SRR12404955
NZ_CP138514.1,1192185,541051,438930,989810,38809,916604,244902,101987,136093,95340,94812,197312,60166,50102,162982,202987,199912,69469,59311,167503,257085,185352,225946,533779,153701,304133,35013,50593,117048,140507,106466,161211,141570,89627,108953,63325,210651,49215,402395,206175,519396,548956,159016,23776,297736,227109,279782,172684,371204,241178,35849
NZ_CP138516.1,1298350,570430,459704,1034446,40469,966638,256714,105850,140085,95467,100946,212605,64231,53876,176994,215756,217530,75860,63293,182362,270505,191848,237740,558505,157623,319539,37071,52104,120338,149794,115288,174327,152382,89113,118219,66545,222321,53828,409378,219405,571095,567520,166753,23302,306635,243567,289129,187316,395921,253846,40753
NZ_CP138497.1,938298,374996,300585,665800,26489,613834,168749,56911,82375,52102,64418,135468,42321,34763,113023,130962,121444,50550,39553,104742,178616,115231,160138,383337,95795,202741,20436,32453,76350,101081,71024,114347,103458,57038,72456,39503,143844,36117,271206,112595,363383,346863,103366,17446,185176,150968,196570,125013,250224,167191,23780
NZ_CP076395.1,404150,215592,166701,379123,17812,396990,98857,54042,179056,28397,43946,305017,33104,27975,228130,236914,71423,30488,30918,95213,299224,92059,116745,226396,81935,104493,29513,30609,73878,54095,64418,98495,332869,186233,46487,249356,91666,18400,252912,37340,172933,156000,155243,7717,80161,145553,146109,321439,146136,410708,42748
NZ_CP136338.1,142941,56899,39610,88562,5218,66977,39601,15481,57328,20769,12481,18110,10217,8122,21528,47334,58589,15405,12400,16527,97186,28504,43672,139882,23767,30247,22315,25364,26892,16854,15974,15920,22606,10337,8237,14146,26877,14256,29068,31753,49346,58115,24852,14605,76705,58153,48854,25693,31307,24487,8797
NZ_CP155749.1,880083,470972,355396,815847,36013,796877,208373,80681,203367,54337,97950,543348,65704,59028,302756,253364,173993,68058,64474,197069,298249,166079,205460,456991,142134,271061,42418,41026,109925,123288,127204,194379,315175,160299,106774,295505,181768,41505,493608,90176,437997,362292,241580,12453,159919,298548,256063,484797,359387,806238,98638
NZ_CP149519.1,94230,35454,24492,57021,2746,54393,13707,5606,18240,3704,8863,14343,4425,3781,10420,9404,10028,4102,3788,9398,13480,10689,11837,30883,10048,16242,1736,4612,11969,8913,4520,8837,8753,4726,5280,5918,13650,2747,16460,4443,27993,28843,21173,570,9222,9027,15593,5142,21682,18436,1698
NZ_LR743510.1,2832553,1381856,1037484,2465279,105896,2553814,567431,289525,498289,180446,227845,1536018,144399,125697,579610,521671,393622,203036,159047,430121,720713,463475,498056,1133957,401492,658417,95228,124620,353575,345886,325601,434109,453400,237287,326499,258004,520632,137505,874630,302020,1314086,1151843,471678,27663,468831,458724,534669,377419,933643,1461596,170717
NZ_CP062179.1,763274,178969,146520,319557,13622,288548,74982,25048,35398,21994,27097,66854,17529,15231,53155,46556,42173,25331,16883,46505,63465,53203,68176,147856,43672,92479,7974,11694,32513,51817,36108,58100,52174,28427,35301,15864,65184,16144,101200,34992,159996,156767,44753,3575,48890,51874,60975,44480,124253,82920,9428
NZ_CP046503.1,311349,31309,22971,39324,2762,32580,17157,4058,16772,4555,6195,41299,4601,4110,7414,8520,9776,7140,2232,5441,106383,23649,58103,83177,17033,29336,3772,7131,33839,10695,4186,10943,8727,7937,4557,8296,15852,3395,11434,5854,27686,32204,6661,1505,6149,6168,7958,4873,24006,40726,2195
NZ_CP049912.1,42116,21190,15203,33237,1812,25055,15970,8330,21359,6061,5139,8477,2836,2285,4792,10824,17889,4666,3420,5255,64951,12649,28245,102892,9434,14954,69625,11035,15853,6555,3828,4951,5380,2674,2691,4113,14748,3208,10494,6656,14066,16427,4733,4732,10544,10473,10103,4531,9918,11380,1500
NZ_CP049906.1,761384,197838,149414,312445,14332,262879,92796,25004,41402,25764,33948,68935,26855,22844,55389,68238,89655,36808,25436,59177,116109,56060,93286,226372,47595,120798,11788,20863,40580,59477,45798,78485,92305,31683,38721,23415,72048,25559,104787,75034,192451,179131,64262,8879,104412,95536,106624,68344,146867,82951,19488
NZ_CP071828.1,271215,90534,71196,174233,7722,149039,43473,18090,52799,20015,16360,49869,11063,9411,35636,36531,33028,13046,10416,24993,72436,35602,52497,115231,28990,46063,13950,19327,34496,24841,19101,26159,21916,12913,17577,13360,40338,9111,61332,39795,83260,93169,28791,15799,51120,57681,65605,26543,57631,56637,6268
NZ_CP069303.1,4605385,2801737,2042702,4768572,212607,4919208,1165752,638502,1329967,376165,485198,1562973,335976,274347,1256225,1115687,914226,433209,354184,914485,2342710,1003261,1184108,2727474,890446,1397334,259895,318963,969753,676384,653036,864323,947818,503349,649172,584471,1075444,312905,1876135,608405,2601800,2273058,1099000,62751,1110389,943163,1135239,833177,1890878,1833210,403797
