Index	NZ_AP026896.1	NZ_CP069303.1	CP090106.1	NZ_LR743510.1	CP063167.1	NZ_CP115947.1	CP025986.1	NZ_CP119140.1	NZ_CP119142.1	CP023017.1	NZ_CP039965.1	NZ_CP115942.1	NZ_CP138516.1	NZ_CP138514.1	NZ_CP138497.1	NZ_CP029356.1	NZ_CP155749.1	NZ_CP023549.1	NZ_CP062179.1	NZ_CP049906.1	NZ_CP088082.1	NC_008826.1	NZ_CP047170.1	NZ_CP093017.1	CP099607.1	NZ_CP029358.1	NZ_CP076395.1	NZ_CP083452.1	NZ_CP033971.1	NZ_CP046503.1	NZ_CP099646.1	NZ_CP071828.1	NZ_CP101744.1	NZ_CP029986.1	NZ_CP011515.1	NZ_CP009453.1	NZ_CP117194.1	CP099606.1	NZ_CP136338.1	NZ_CP062064.1	NZ_CP149519.1	NZ_CP035709.1	NZ_CP069372.1	NZ_CP049912.1	NZ_CP080763.1	NC_009037.1
length	4944632	4605385	3719350	2832553	2479635	2326525	2212170	2168363	2167441	2034982	1584601	1578131	1298350	1192185	938298	882608	880083	860520	763274	761384	708898	599444	531034	436805	424035	405625	404150	372730	333965	311349	294790	271215	265777	265221	262673	243437	187379	159105	142941	137594	94230	84154	70477	42116	28165	16762
AS_SRR11088434	0.831722	0.8001961	0.6850334	0.7173571	0.8070123	0.7679139	0.7369113	0.4147299	0.4119203	0.683292	0.5821213	0.6965873	0.7446798	0.7460855	0.6790028	0.8329949	0.7648494	0.7895238	0.5142623	0.5947262	0.8283025	0.6855186	0.7246636	0.4909376	0.8477626	0.8452709	0.798169	0.7840072	0.5632117	0.4568507	0.5140269	0.6144535	0.5242177	0.6582435	0.8314711	0.7780781	0.696855	0.8405204	0.6520732	0.5767039	0.7101772	0.7266678	0.8629482	0.9585906	0.943973	1
AS_SRR11235435	0.5842886	0.7334926	0.6151491	0.6728527	0.7785694	0.7323484	0.6999078	0.3673038	0.3693789	0.6403432	0.4786246	0.6532259	0.7032988	0.7082567	0.637824	0.7966005	0.7211127	0.7334065	0.4768379	0.5284849	0.7972304	0.6498722	0.6651458	0.420927	0.8180646	0.8121541	0.7426104	0.7091621	0.5167188	0.3178363	0.4693443	0.5706432	0.4468671	0.6114033	0.8055453	0.719566	0.6627904	0.8094277	0.6017798	0.4476576	0.6281439	0.6943461	0.7126155	0.8649682	0.9431919	0.5387185
AS_SRR11673976	0.7451851	0.82363	0.7252291	0.7749726	0.8498977	0.8169231	0.793487	0.4665778	0.4644823	0.7494435	0.605584	0.7579758	0.7990157	0.7994413	0.7370548	0.8786766	0.8153117	0.8329278	0.5709404	0.6314593	0.8700857	0.7467837	0.7719845	0.5160861	0.882097	0.8878915	0.8257454	0.782215	0.6199691	0.4098102	0.5698667	0.6743248	0.5121474	0.7261039	0.8716541	0.8233342	0.7124277	0.8768863	0.7095725	0.5316002	0.7375464	0.7670462	0.8155426	0.9305015	0.9517131	0.5777354
AS_SRR11783213	0.2692878	0.3403789	0.2405778	0.2620791	0.3390636	0.354821	0.2930326	0.1116063	0.1132889	0.2180545	0.1821228	0.2666312	0.2705149	0.276473	0.2295316	0.3614447	0.3107775	0.3178648	0.1395567	0.1619708	0.3906401	0.2287937	0.2533303	0.128151	0.4046364	0.3855605	0.4771125	0.3792316	0.1627207	0.1116561	0.1436107	0.2296739	0.2138597	0.2361992	0.4267245	0.4104265	0.39664	0.3764621	0.3359638	0.1684812	0.2954367	0.3803741	0.5480795	0.6001045	0.8053257	0.2851688
AS_SRR13994250	0.6861328	0.830465	0.727508	0.7763721	0.8459959	0.8081465	0.7817134	0.420235	0.4196285	0.7373304	0.5466026	0.744096	0.7879971	0.7898506	0.7201006	0.8811046	0.8083488	0.8239727	0.5455773	0.6080716	0.8614328	0.7589283	0.7602507	0.4771557	0.8746212	0.8889837	0.8244315	0.7586215	0.605285	0.3644078	0.5448523	0.6637391	0.4737807	0.7247541	0.8713343	0.7550455	0.6852475	0.8713114	0.719038	0.5000872	0.7174361	0.744718	0.808136	0.8870263	0.9529558	0.5202243
AS_SRR14932642	0.8126172	0.6847992	0.4809763	0.5229011	0.6526416	0.6142414	0.57199	0.2879458	0.2880415	0.4949277	0.4114437	0.5281957	0.5776932	0.578937	0.4940264	0.6592734	0.5981095	0.5899677	0.3339993	0.4506517	0.7131985	0.488813	0.5276536	0.3271964	0.7197826	0.6808407	0.7076605	0.7873179	0.3821987	0.3521258	0.3120289	0.43078	0.392058	0.4852708	0.709304	0.59005	0.7180313	0.7013482	0.5521439	0.3606698	0.5300223	0.7219859	0.6693248	0.9441305	0.972164	0.6092352
AS_SRR8208348	0.4614813	0.4946803	0.3278455	0.347925	0.4459011	0.4325253	0.3673854	0.1338051	0.1328784	0.2838939	0.1818199	0.3354532	0.3817384	0.3854276	0.2846164	0.4593512	0.365486	0.3974364	0.1648425	0.2001579	0.5139216	0.3512805	0.317281	0.1455913	0.5301001	0.4934903	0.526599	0.4743997	0.194176	0.2000135	0.1533532	0.2598787	0.2362469	0.266227	0.5404172	0.3355776	0.5792805	0.5019704	0.4586858	0.2127927	0.3372811	0.5201892	0.5933425	0.8392535	0.9242677	0.3991171
AS_SRR8351382	0.8621503	0.7532448	0.3777625	0.3057394	0.366337	0.3936425	0.311953	0.1647021	0.1668511	0.22183	0.3158839	0.3004548	0.3365372	0.3352903	0.2460498	0.3707138	0.3674392	0.3858028	0.120802	0.2149073	0.4671039	0.2309106	0.314848	0.1391903	0.4556299	0.401208	0.6145738	0.5267808	0.1652359	0.3823555	0.1404491	0.2352709	0.2688871	0.3345361	0.471099	0.4998377	0.6197226	0.4541403	0.4372014	0.1789031	0.4655311	0.5599259	0.8415937	0.9220486	0.9451447	0.4907529
AS_SRR8831201	0.4434512	0.360011	0.2488903	0.2751564	0.4149268	0.4169317	0.3487164	0.1352453	0.1349019	0.257846	0.1601747	0.3199506	0.3700127	0.3751012	0.2802351	0.3889722	0.3252136	0.3262399	0.1550125	0.2053379	0.4948723	0.2893131	0.2561625	0.1456783	0.5090665	0.4282058	0.4975232	0.4776219	0.1800817	0.1805755	0.169999	0.2535516	0.2427185	0.260232	0.5131742	0.3231103	0.5042881	0.4746928	0.4287923	0.1943544	0.2832325	0.4598118	0.5116421	0.799055	0.9344221	0.4445174
