Plasmid	Length
NZ_AP026896.1	4944632
NZ_CP069303.1	4605385
CP090106.1	3719350
NZ_LR743510.1	2832553
CP063167.1	2479635
NZ_CP115947.1	2326525
CP025986.1	2212170
CP023017.1	2034982
NZ_CP039965.1	1584601
NZ_CP115942.1	1578131
NZ_CP138516.1	1298350
NZ_CP138514.1	1192185
NZ_CP138497.1	938298
NZ_CP029356.1	882608
NZ_CP155749.1	880083
NZ_CP023549.1	860520
NZ_CP049906.1	761384
NZ_CP088082.1	708898
NC_008826.1	599444
NZ_CP047170.1	531034
NZ_CP093017.1	436805
CP099607.1	424035
NZ_CP029358.1	405625
NZ_CP076395.1	404150
NZ_CP083452.1	372730
NZ_CP033971.1	333965
NZ_CP046503.1	311349
NZ_CP071828.1	271215
NZ_CP101744.1	265777
NZ_CP029986.1	265221
NZ_CP011515.1	262673
NZ_CP009453.1	243437
NZ_CP117194.1	187379
CP099606.1	159105
NZ_CP136338.1	142941
NZ_CP149519.1	94230
NZ_CP035709.1	84154
NZ_CP069372.1	70477
NZ_CP049912.1	42116
NZ_CP080763.1	28165
NC_009037.1	16762
