Sample,Group,Plasmid,Size_Category
AS_SRR11088434,AS,NZ_AP026896.1,Large-plasmid
AS_SRR11088434,AS,NZ_CP069303.1,Large-plasmid
AS_SRR11088434,AS,CP090106.1,Large-plasmid
AS_SRR11088434,AS,NZ_LR743510.1,Large-plasmid
AS_SRR11088434,AS,CP063167.1,Large-plasmid
AS_SRR11088434,AS,NZ_CP115947.1,Large-plasmid
AS_SRR11088434,AS,CP025986.1,Large-plasmid
AS_SRR11088434,AS,CP023017.1,Large-plasmid
AS_SRR11088434,AS,NZ_CP115942.1,Large-plasmid
AS_SRR11088434,AS,NZ_CP138516.1,Large-plasmid
AS_SRR11088434,AS,NZ_CP138514.1,Large-plasmid
AS_SRR11088434,AS,NZ_CP138497.1,Large-plasmid
AS_SRR11088434,AS,NZ_CP029356.1,Large-plasmid
AS_SRR11088434,AS,NZ_CP155749.1,Large-plasmid
AS_SRR11088434,AS,NZ_CP023549.1,Large-plasmid
AS_SRR11088434,AS,NZ_CP088082.1,Large-plasmid
AS_SRR11088434,AS,NC_008826.1,Large-plasmid
AS_SRR11088434,AS,NZ_CP047170.1,Large-plasmid
AS_SRR11088434,AS,CP099607.1,Large-plasmid
AS_SRR11088434,AS,NZ_CP029358.1,Large-plasmid
AS_SRR11088434,AS,NZ_CP076395.1,Large-plasmid
AS_SRR11088434,AS,NZ_CP083452.1,Large-plasmid
AS_SRR11088434,AS,NZ_CP071828.1,Large-plasmid
AS_SRR11088434,AS,NZ_CP029986.1,Large-plasmid
AS_SRR11088434,AS,NZ_CP011515.1,Large-plasmid
AS_SRR11088434,AS,NZ_CP009453.1,Large-plasmid
AS_SRR11088434,AS,NZ_CP117194.1,Large-plasmid
AS_SRR11088434,AS,CP099606.1,Large-plasmid
AS_SRR11088434,AS,NZ_CP136338.1,Large-plasmid
AS_SRR11088434,AS,NZ_CP149519.1,Small-plasmid
AS_SRR11088434,AS,NZ_CP035709.1,Small-plasmid
AS_SRR11088434,AS,NZ_CP069372.1,Small-plasmid
AS_SRR11088434,AS,NZ_CP049912.1,Small-plasmid
AS_SRR11088434,AS,NZ_CP080763.1,Small-plasmid
AS_SRR11088434,AS,NC_009037.1,Small-plasmid
AS_SRR11235435,AS,NZ_CP069303.1,Large-plasmid
AS_SRR11235435,AS,CP090106.1,Large-plasmid
AS_SRR11235435,AS,NZ_LR743510.1,Large-plasmid
AS_SRR11235435,AS,CP063167.1,Large-plasmid
AS_SRR11235435,AS,NZ_CP115947.1,Large-plasmid
AS_SRR11235435,AS,CP025986.1,Large-plasmid
AS_SRR11235435,AS,CP023017.1,Large-plasmid
AS_SRR11235435,AS,NZ_CP115942.1,Large-plasmid
AS_SRR11235435,AS,NZ_CP138516.1,Large-plasmid
AS_SRR11235435,AS,NZ_CP138514.1,Large-plasmid
AS_SRR11235435,AS,NZ_CP138497.1,Large-plasmid
AS_SRR11235435,AS,NZ_CP029356.1,Large-plasmid
AS_SRR11235435,AS,NZ_CP155749.1,Large-plasmid
AS_SRR11235435,AS,NZ_CP023549.1,Large-plasmid
AS_SRR11235435,AS,NZ_CP088082.1,Large-plasmid
AS_SRR11235435,AS,NC_008826.1,Large-plasmid
AS_SRR11235435,AS,NZ_CP047170.1,Large-plasmid
AS_SRR11235435,AS,CP099607.1,Large-plasmid
AS_SRR11235435,AS,NZ_CP029358.1,Large-plasmid
AS_SRR11235435,AS,NZ_CP076395.1,Large-plasmid
AS_SRR11235435,AS,NZ_CP083452.1,Large-plasmid
AS_SRR11235435,AS,NZ_CP029986.1,Large-plasmid
AS_SRR11235435,AS,NZ_CP011515.1,Large-plasmid
AS_SRR11235435,AS,NZ_CP009453.1,Large-plasmid
AS_SRR11235435,AS,NZ_CP117194.1,Large-plasmid
AS_SRR11235435,AS,CP099606.1,Large-plasmid
AS_SRR11235435,AS,NZ_CP136338.1,Large-plasmid
AS_SRR11235435,AS,NZ_CP149519.1,Small-plasmid
AS_SRR11235435,AS,NZ_CP035709.1,Small-plasmid
AS_SRR11235435,AS,NZ_CP069372.1,Small-plasmid
AS_SRR11235435,AS,NZ_CP049912.1,Small-plasmid
AS_SRR11235435,AS,NZ_CP080763.1,Small-plasmid
AS_SRR11673976,AS,NZ_AP026896.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP069303.1,Large-plasmid
AS_SRR11673976,AS,CP090106.1,Large-plasmid
AS_SRR11673976,AS,NZ_LR743510.1,Large-plasmid
AS_SRR11673976,AS,CP063167.1,Large-plasmid
AS_SRR11673976,AS,NZ_CP115947.1,Large-plasmid
